meridian,sheet,range,townships,n_townships,rows,index_files,twps_without_files,twps_not_photographed,first_twp,last_twp,est_days_at_800_rows_per_day
W1,R31,31,55,1,84,0,1,0,55,55,0.1
W1,R34,34,1 4 7 10 13,5,312,115,1,0,1,13,0.4
W2,R01,1,25 28 31 34 37 40 43 46 49 52 55,11,1555,372,3,1,25,55,1.9
W2,R04,4,1 4 7 22 25 28 31 34 37 40 43 46 49 52 55,15,2115,554,4,0,1,55,2.6
W2,R07,7,22 25 28 31 34 37 40 43 46 49 52 55,12,1680,472,3,0,22,55,2.1
W2,R10,10,1 4 25 28 31 34 37 40 43 46 49 52 55,13,1824,451,4,0,1,55,2.3
W2,R13,13,1 4 16 19 22 25 28 31 34 37 40 43 46 49 52 55,16,2256,994,1,6,1,55,2.8
W2,R16,16,1 4 25 28 31 34 37 40 43 46 49 52 55,13,1828,897,1,0,1,55,2.3
W2,R19,19,1 4 7 10 13 16 19 22 25 28 31 34 37 40 52 55,16,2304,1070,1,0,1,55,2.9
W2,R22,22,1 4 7 10 13 16 19 22 25 28 31 34 37 40 52 55,16,2304,1001,1,0,1,55,2.9
W2,R25,25,1 4 7 10 13 16 19 22 25 28 31 34 37 40 52 55,16,2304,1286,1,0,1,55,2.9
W2,R28,28,1 4 7 10 13 16 19 22 25 28 31 34 37 40 52,15,2016,1194,1,0,1,52,2.5
W3,R01,1,1 4 7 10 13 16 19 22 25 52 55,11,1584,713,1,0,1,55,2.0
W3,R04,4,1 4 7 10 13 16 19 22 25 55,10,1440,867,1,0,1,55,1.8
W3,R07,7,1 4 7 10 13 16 19 22 25 46 49 52 55,13,1872,1196,1,0,1,55,2.3
W3,R10,10,1 4 7 10 13 16 19 22 25 46 49 52 55,13,1872,925,1,0,1,55,2.3
W3,R13,13,1 4 7 10 13 16 19 22 25 46 49 52 55,13,1872,921,1,0,1,55,2.3
W3,R16,16,1 4 7 16 19 22 25 46 49 52 55,11,1584,746,1,0,1,55,2.0
W3,R19,19,1 4 7 10 13 16 19 22 25 46 49 52 55,13,1872,1013,1,0,1,55,2.3
W3,R22,22,1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55,19,2736,1173,1,0,1,55,3.4
W3,R25,25,1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55,19,2736,1474,1,0,1,55,3.4
W3,R28,28,1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52,18,2244,1199,0,0,1,52,2.8
