sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
184,W3,10,1,R10,names-only,144,49,29.0,18.0,12,no proxy,,no CPR land,False,T1-12 (south),A,-107.2754,49.0435,
185,W3,10,4,R10,names-only,144,67,34.0,46.0,14,no proxy,,no CPR land,False,T1-12 (south),A,-107.2844,49.3056,
186,W3,10,7,R10,names-only,144,112,48.0,78.0,15,1906-10,,no CPR land,False,T1-12 (south),A,-107.2916,49.5672,
187,W3,10,10,R10,names-only,144,126,48.0,89.0,12,1906-10,1912.0,no CPR land,False,T1-12 (south),A,-107.2915,49.8293,
188,W3,10,13,R10,names-only,144,98,58.0,72.0,13,1906-10,1922.0,no CPR land,False,T13-24,A,-107.3016,50.0915,
189,W3,10,16,R10,names-only,144,117,42.0,89.0,16,pre-1890,1882.0,some CPR,False,T13-24,,-107.3109,50.3537,
190,W3,10,19,R10,names-only,144,64,27.0,89.0,16,pre-1890,1937.0,CPR belt,False,T13-24,,-107.3205,50.6159,
191,W3,10,22,R10,names-only,144,119,45.0,83.0,12,1906-10,1922.0,no CPR land,False,T13-24,,-107.3207,50.8779,
192,W3,10,25,R10,empty,144,40,35.0,56.0,13,1906-10,,no CPR land,False,T25-36,,-107.33,51.1398,
193,W3,10,46,R10,names-only,144,61,64.0,85.0,14,1911+,1928.0,no CPR land,False,T37-48 (parkland),,-107.383,52.9733,
194,W3,10,49,R10,empty,144,34,68.0,26.0,13,1911+,1930.0,no CPR land,False,T49+ (forest fringe),C,-107.3908,53.236,
195,W3,10,52,R10,empty,144,38,61.0,28.0,14,1911+,1930.0,no CPR land,True,T49+ (forest fringe),C,-107.4065,53.497,
196,W3,10,55,R10,empty,144,0,,0.0,13,no proxy,,no CPR land,False,T49+ (forest fringe),C,-107.4195,53.7588,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
197,W3,13,1,R13,names-only,144,79,49.0,62.0,12,1911+,1925.0,no CPR land,False,T1-12 (south),A,-107.6759,49.0434,
198,W3,13,4,R13,names-only,144,97,47.0,75.0,12,1911+,1925.0,no CPR land,False,T1-12 (south),A,-107.6879,49.3055,
199,W3,13,7,R13,names-only,144,92,59.0,64.0,12,1906-10,,no CPR land,False,T1-12 (south),A,-107.6985,49.5674,
200,W3,13,10,R13,names-only,144,113,37.0,76.0,12,1906-10,1912.0,no CPR land,False,T1-12 (south),A,-107.6985,49.8294,
201,W3,13,13,R13,names-only,144,110,15.0,88.0,12,pre-1890,1912.0,no CPR land,False,T13-24,A,-107.7112,50.0915,
202,W3,13,16,R13,names-only,144,77,42.0,85.0,13,pre-1890,1882.0,CPR belt,False,T13-24,,-107.7233,50.3536,
203,W3,13,19,R13,names-only,144,55,45.0,69.0,12,1911+,1929.0,CPR belt,False,T13-24,,-107.736,50.6159,
204,W3,13,22,R13,names-only,144,49,24.0,32.0,12,no proxy,,no CPR land,False,T13-24,,-107.7358,50.878,
205,W3,13,25,R13,names-only,144,62,66.0,86.0,12,1901-05,1913.0,no CPR land,False,T25-36,,-107.7484,51.1398,
206,W3,13,46,R13,names-only,144,87,44.0,94.0,12,1911+,1928.0,no CPR land,False,T37-48 (parkland),,-107.8178,52.9731,
207,W3,13,49,R13,names-only,144,99,61.0,74.0,12,1911+,1926.0,no CPR land,False,T49+ (forest fringe),C,-107.8331,53.2344,
208,W3,13,52,R13,empty,144,1,0.0,1.0,12,1911+,1930.0,no CPR land,False,T49+ (forest fringe),C,-107.8489,53.497,few homestead files — quick township
209,W3,13,55,R13,empty,144,0,,0.0,12,1911+,1931.0,no CPR land,True,T49+ (forest fringe),C,-107.8654,53.7587,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
210,W3,16,1,R16,names-only,144,87,54.0,58.0,12,1911+,1925.0,no CPR land,False,T1-12 (south),A,-108.0765,49.0434,
211,W3,16,4,R16,names-only,144,100,60.0,68.0,12,1911+,1925.0,no CPR land,False,T1-12 (south),A,-108.0913,49.3055,
212,W3,16,7,R16,empty,144,1,0.0,1.0,12,1911+,,no CPR land,False,T1-12 (south),A,-108.1053,49.5674,few homestead files — quick township
213,W3,16,16,R16,names-only,144,125,49.0,88.0,12,pre-1890,1882.0,no CPR land,False,T13-24,,-108.1359,50.3537,
214,W3,16,19,R16,names-only,144,101,31.0,81.0,12,1906-10,1911.0,some CPR,False,T13-24,,-108.1515,50.6159,
215,W3,16,22,R16,names-only,144,117,36.0,89.0,12,1911+,1924.0,no CPR land,False,T13-24,,-108.1514,50.8779,
216,W3,16,25,R16,names-only,144,46,39.0,64.0,12,1901-05,1913.0,no CPR land,False,T25-36,,-108.1669,51.1398,
217,W3,16,46,R16,names-only,144,65,34.0,88.0,12,1890s,1911.0,CPR belt,True,T37-48 (parkland),,-108.2534,52.973,
218,W3,16,49,R16,names-only,144,57,53.0,78.0,12,1911+,1925.0,no CPR land,True,T49+ (forest fringe),C,-108.2718,53.2344,
219,W3,16,52,R16,names-only,144,47,43.0,47.0,12,1911+,1925.0,no CPR land,True,T49+ (forest fringe),C,-108.2913,53.497,
220,W3,16,55,R16,empty,144,0,,0.0,12,no proxy,,no CPR land,True,T49+ (forest fringe),C,-108.3113,53.7588,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
221,W3,19,1,R19,names-only,144,100,55.0,68.0,12,no proxy,,no CPR land,False,T1-12 (south),A,-108.4769,49.0433,
222,W3,19,4,R19,names-only,144,109,52.0,76.0,12,1911+,1923.0,no CPR land,False,T1-12 (south),A,-108.4946,49.3054,
223,W3,19,7,R19,names-only,144,122,31.0,85.0,12,pre-1890,1914.0,no CPR land,False,T1-12 (south),A,-108.512,49.5674,
224,W3,19,10,R19,names-only,144,116,47.0,76.0,12,1906-10,,no CPR land,False,T1-12 (south),A,-108.5118,49.8295,
225,W3,19,13,R19,names-only,144,61,34.0,49.0,13,pre-1890,1882.0,CPR belt,False,T13-24,A,-108.5303,50.0915,
226,W3,19,16,R19,names-only,144,117,40.0,81.0,12,1911+,1929.0,no CPR land,False,T13-24,,-108.5483,50.3538,
227,W3,19,19,R19,names-only,144,123,41.0,85.0,12,1906-10,1911.0,no CPR land,False,T13-24,,-108.5671,50.6159,
228,W3,19,22,R19,empty,144,41,27.0,28.0,12,1911+,,no CPR land,False,T13-24,,-108.567,50.8779,
229,W3,19,25,R19,empty,144,39,23.0,54.0,12,pre-1890,1915.0,no CPR land,False,T25-36,,-108.5855,51.1399,
230,W3,19,46,R19,names-only,144,76,33.0,81.0,12,1890s,1905.0,CPR belt,True,T37-48 (parkland),,-108.6892,52.973,
231,W3,19,49,R19,names-only,144,66,44.0,92.0,12,1901-05,1911.0,some CPR,False,T49+ (forest fringe),C,-108.7104,53.2344,
232,W3,19,52,R19,empty,144,43,53.0,60.0,12,1901-05,1925.0,no CPR land,True,T49+ (forest fringe),C,-108.7334,53.4969,
233,W3,19,55,R19,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-108.7573,53.7588,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
234,W3,22,1,R22,empty,144,7,43.0,8.0,12,no proxy,,no CPR land,False,T1-12 (south),B,-108.8777,49.0432,few homestead files — quick township
235,W3,22,4,R22,names-only,144,95,53.0,68.0,12,pre-1890,1923.0,no CPR land,False,T1-12 (south),B,-108.8982,49.3053,
236,W3,22,7,R22,names-only,144,55,35.0,39.0,12,pre-1890,1914.0,no CPR land,False,T1-12 (south),B,-108.9186,49.5674,
237,W3,22,10,R22,names-only,144,80,46.0,71.0,12,pre-1890,,some CPR,False,T1-12 (south),B,-108.9189,49.8293,
238,W3,22,13,R22,names-only,144,60,22.0,46.0,12,pre-1890,1882.0,some CPR,False,T13-24,B,-108.94,50.0916,
239,W3,22,16,R22,names-only,144,53,36.0,32.0,12,no proxy,,no CPR land,False,T13-24,B,-108.9608,50.3538,
240,W3,22,19,R22,empty,144,30,37.0,19.0,12,1911+,,no CPR land,False,T13-24,B,-108.9826,50.6159,
241,W3,22,22,R22,names-only,144,117,36.0,79.0,12,1906-10,1913.0,no CPR land,False,T13-24,B,-108.9825,50.878,
242,W3,22,25,R22,names-only,144,62,39.0,86.0,12,pre-1890,1918.0,no CPR land,False,T25-36,G,-109.0041,51.1399,
243,W3,22,28,R22,names-only,144,75,32.0,75.0,12,1906-10,1910.0,no CPR land,False,T25-36,G,-109.0276,51.402,
244,W3,22,31,R22,names-only,144,67,45.0,83.0,12,1901-05,1913.0,no CPR land,False,T25-36,G,-109.0519,51.6632,
245,W3,22,34,R22,names-only,144,79,51.0,83.0,12,pre-1890,1911.0,no CPR land,False,T25-36,G,-109.0519,51.9254,
246,W3,22,37,R22,names-only,144,118,53.0,79.0,12,1906-10,1913.0,no CPR land,False,T37-48 (parkland),G,-109.0741,52.1872,
247,W3,22,40,R22,names-only,144,76,43.0,86.0,12,1901-05,1908.0,CPR belt,False,T37-48 (parkland),G,-109.0976,52.4494,
248,W3,22,43,R22,names-only,144,64,31.0,89.0,12,1901-05,1911.0,CPR belt,False,T37-48 (parkland),,-109.1247,52.7112,
249,W3,22,46,R22,empty,144,18,44.0,15.0,12,1901-05,1905.0,no CPR land,True,T37-48 (parkland),,-109.1247,52.9731,few homestead files — quick township
250,W3,22,49,R22,names-only,144,60,28.0,76.0,12,1901-05,,some CPR,False,T49+ (forest fringe),C,-109.1504,53.2343,
251,W3,22,52,R22,names-only,144,57,19.0,76.0,12,1901-05,1921.0,some CPR,False,T49+ (forest fringe),C,-109.1756,53.497,
252,W3,22,55,R22,empty,144,0,,0.0,12,1911+,1921.0,no CPR land,False,T49+ (forest fringe),C,-109.2033,53.7588,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
253,W3,25,1,R25,names-only,144,83,51.0,53.0,12,1911+,1923.0,no CPR land,False,T1-12 (south),B,-109.2785,49.0433,
254,W3,25,4,R25,names-only,144,83,59.0,64.0,12,1906-10,1914.0,no CPR land,False,T1-12 (south),B,-109.3016,49.3053,
255,W3,25,7,R25,empty,144,41,29.0,32.0,12,1906-10,1914.0,no CPR land,False,T1-12 (south),B,-109.3254,49.5674,
256,W3,25,10,R25,names-only,144,51,37.0,61.0,12,pre-1890,1882.0,CPR belt,True,T1-12 (south),B,-109.3253,49.8296,
257,W3,25,13,R25,names-only,144,101,46.0,82.0,13,pre-1890,,some CPR,False,T13-24,B,-109.3495,50.0915,
258,W3,25,16,R25,names-only,144,97,49.0,65.0,13,1911+,1926.0,no CPR land,False,T13-24,B,-109.3734,50.3537,
259,W3,25,19,R25,names-only,144,116,20.0,78.0,13,no proxy,,no CPR land,False,T13-24,B,-109.3979,50.616,
260,W3,25,22,R25,names-only,144,114,55.0,79.0,12,1901-05,1913.0,no CPR land,False,T13-24,B,-109.398,50.8779,
261,W3,25,25,R25,names-only,144,48,29.0,67.0,12,1906-10,1920.0,no CPR land,False,T25-36,G,-109.4227,51.1399,
262,W3,25,28,R25,names-only,144,108,58.0,86.0,12,1906-10,1911.0,no CPR land,False,T25-36,G,-109.4495,51.402,
263,W3,25,31,R25,names-only,144,70,56.0,85.0,15,1906-10,1913.0,no CPR land,False,T25-36,G,-109.4773,51.6633,
264,W3,25,34,R25,names-only,144,60,33.0,68.0,12,pre-1890,1914.0,no CPR land,False,T25-36,G,-109.4773,51.9254,
265,W3,25,37,R25,names-only,144,116,30.0,74.0,13,1906-10,1911.0,no CPR land,False,T37-48 (parkland),G,-109.5026,52.1871,
266,W3,25,40,R25,names-only,144,108,33.0,76.0,12,1906-10,1910.0,no CPR land,False,T37-48 (parkland),G,-109.5287,52.4495,
267,W3,25,43,R25,names-only,144,77,48.0,81.0,12,1906-10,1908.0,no CPR land,False,T37-48 (parkland),,-109.5599,52.7112,
268,W3,25,46,R25,names-only,144,57,23.0,79.0,12,1901-05,1905.0,some CPR,False,T37-48 (parkland),,-109.5602,52.973,
269,W3,25,49,R25,names-only,144,65,23.0,90.0,12,1901-05,1905.0,CPR belt,False,T49+ (forest fringe),C,-109.589,53.2343,
270,W3,25,52,R25,names-only,144,79,30.0,75.0,12,1911+,1928.0,no CPR land,False,T49+ (forest fringe),C,-109.6184,53.4973,
271,W3,25,55,R25,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-109.649,53.7586,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
272,W3,28,1,R28,empty,144,1,0.0,1.0,10,no proxy,,no CPR land,False,T1-12 (south),B,-109.6794,49.0434,few homestead files — quick township
273,W3,28,4,R28,names-only,144,90,49.0,65.0,12,1906-10,1914.0,no CPR land,False,T1-12 (south),B,-109.7052,49.3054,
274,W3,28,7,R28,empty,144,20,30.0,18.0,15,no proxy,,no CPR land,False,T1-12 (south),B,-109.732,49.5677,
275,W3,28,10,R28,names-only,144,93,29.0,68.0,12,pre-1890,1883.0,some CPR,False,T1-12 (south),B,-109.7319,49.8295,
276,W3,28,13,R28,empty,144,33,45.0,22.0,12,pre-1890,1883.0,no CPR land,False,T13-24,B,-109.7593,50.0916,
277,W3,28,16,R28,names-only,144,110,45.0,78.0,12,1911+,1926.0,no CPR land,False,T13-24,B,-109.786,50.3538,
278,W3,28,19,R28,names-only,144,123,22.0,90.0,12,1906-10,1923.0,no CPR land,False,T13-24,B,-109.8135,50.6159,
279,W3,28,22,R28,names-only,144,99,58.0,72.0,12,1901-05,1913.0,no CPR land,False,T13-24,B,-109.8133,50.8779,
280,W3,28,25,R28,names-only,144,65,26.0,40.0,12,1911+,1920.0,no CPR land,False,T25-36,G,-109.8413,51.1399,
281,W3,28,28,R28,names-only,144,105,48.0,75.0,12,1906-10,1911.0,no CPR land,False,T25-36,G,-109.8715,51.402,
282,W3,28,31,R28,names-only,144,116,57.0,81.0,12,1906-10,1913.0,no CPR land,False,T25-36,G,-109.903,51.6633,
283,W3,28,34,R28,names-only,144,58,41.0,42.0,12,1911+,1914.0,no CPR land,False,T25-36,G,-109.903,51.9252,
284,W3,28,37,R28,names-only,144,107,35.0,76.0,12,1901-05,1910.0,no CPR land,False,T37-48 (parkland),G,-109.9311,52.1872,
285,W3,28,40,R28,names-only,120,90,39.0,75.0,12,1901-05,1910.0,some CPR,False,T37-48 (parkland),G,-109.9591,52.4494,
286,W3,28,43,R28,empty,84,25,28.0,52.0,12,1906-10,1908.0,some CPR,False,T37-48 (parkland),,-109.9943,52.711,
287,W3,28,46,R28,names-only,84,37,5.0,88.0,12,1911+,1924.0,some CPR,False,T37-48 (parkland),,-109.9949,52.9729,
288,W3,28,49,R28,names-only,60,20,15.0,67.0,12,1901-05,1905.0,CPR belt,False,T49+ (forest fringe),C,-110.0272,53.2343,
289,W3,28,52,R28,empty,24,7,29.0,58.0,12,1901-05,1927.0,some CPR,False,T49+ (forest fringe),C,-110.0584,53.4971,few homestead files — quick township
