sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
41,W2,7,46,R07,empty,144,0,,0.0,12,1901-05,1905.0,no CPR land,False,T37-48 (parkland),D,-102.9499,52.9731,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
42,W2,7,49,R07,empty,144,0,,0.0,13,no proxy,,no CPR land,False,T49+ (forest fringe),C,-102.9533,53.2348,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
43,W2,7,52,R07,empty,144,1,0.0,0.0,12,no proxy,,no CPR land,True,T49+ (forest fringe),C,-102.9631,53.4963,few homestead files — quick township
44,W2,7,55,R07,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-102.9732,53.7587,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
45,W2,10,1,R10,names-only,144,65,58.0,90.0,10,pre-1890,1913.0,no CPR land,False,T1-12 (south),,-103.2753,49.0431,
46,W2,10,4,R10,names-only,144,63,37.0,88.0,12,pre-1890,1893.0,some CPR,False,T1-12 (south),,-103.2844,49.3043,
47,W2,10,25,R10,names-only,144,62,15.0,86.0,12,1901-05,1907.0,some CPR,False,T25-36,D,-103.3404,51.1662,
48,W2,10,28,R10,names-only,144,64,30.0,89.0,12,1890s,1928.0,no CPR land,False,T25-36,D,-103.3508,51.4312,
49,W2,10,31,R10,names-only,96,32,28.0,65.0,12,pre-1890,1903.0,no CPR land,False,T25-36,D,-103.3531,51.6634,
50,W2,10,34,R10,names-only,144,63,40.0,85.0,15,1901-05,1905.0,no CPR land,False,T25-36,D,-103.3531,51.9251,
51,W2,10,37,R10,names-only,144,65,43.0,76.0,15,1911+,1921.0,no CPR land,False,T37-48 (parkland),D,-103.3628,52.1875,
52,W2,10,40,R10,empty,144,21,24.0,17.0,12,no proxy,,no CPR land,False,T37-48 (parkland),D,-103.3745,52.4494,
53,W2,10,43,R10,empty,144,0,,0.0,12,1911+,1930.0,no CPR land,False,T37-48 (parkland),D,-103.3833,52.7108,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
54,W2,10,46,R10,empty,144,0,,0.0,12,1901-05,1905.0,no CPR land,False,T37-48 (parkland),D,-103.383,52.9726,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
55,W2,10,49,R10,empty,144,16,50.0,17.0,12,1911+,1937.0,no CPR land,False,T49+ (forest fringe),C,-103.3923,53.2347,few homestead files — quick township
56,W2,10,52,R10,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-103.4059,53.4963,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
57,W2,10,55,R10,empty,144,0,,0.0,13,no proxy,,no CPR land,False,T49+ (forest fringe),C,-103.4191,53.7584,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
58,W2,13,1,R13,names-only,144,128,42.0,89.0,12,1901-05,1913.0,no CPR land,False,T1-12 (south),,-103.676,49.0431,
59,W2,13,4,R13,names-only,144,63,54.0,88.0,12,1890s,1911.0,no CPR land,False,T1-12 (south),,-103.6879,49.3044,
60,W2,13,16,R13,names-only,144,71,32.0,86.0,0,pre-1890,1907.0,CPR belt,True,T13-24,,-103.7245,50.3532,NOT PHOTOGRAPHED YET — no page images on the share
61,W2,13,19,R13,empty,144,20,35.0,28.0,0,pre-1890,1882.0,some CPR,False,T13-24,,-103.7395,50.6153,NOT PHOTOGRAPHED YET — no page images on the share
62,W2,13,22,R13,names-only,144,59,36.0,82.0,0,pre-1890,1904.0,no CPR land,True,T13-24,,-103.7397,50.8773,NOT PHOTOGRAPHED YET — no page images on the share
63,W2,13,25,R13,names-only,144,61,23.0,85.0,0,1901-05,1908.0,no CPR land,False,T25-36,,-103.7529,51.1393,NOT PHOTOGRAPHED YET — no page images on the share
64,W2,13,28,R13,names-only,144,123,37.0,88.0,0,1901-05,1929.0,no CPR land,False,T25-36,,-103.7751,51.4314,NOT PHOTOGRAPHED YET — no page images on the share
65,W2,13,31,R13,names-only,96,40,25.0,81.0,0,pre-1890,1908.0,CPR belt,False,T25-36,,-103.7779,51.6635,NOT PHOTOGRAPHED YET — no page images on the share
66,W2,13,34,R13,names-only,144,62,37.0,86.0,12,1901-05,1905.0,no CPR land,True,T25-36,,-103.7779,51.9253,
67,W2,13,37,R13,names-only,144,56,52.0,78.0,12,1911+,1924.0,some CPR,False,T37-48 (parkland),,-103.7914,52.1877,
68,W2,13,40,R13,names-only,144,49,41.0,32.0,13,1911+,1924.0,no CPR land,True,T37-48 (parkland),,-103.8066,52.4493,
69,W2,13,43,R13,names-only,144,86,51.0,64.0,12,1901-05,1924.0,no CPR land,False,T37-48 (parkland),,-103.8179,52.7108,
70,W2,13,46,R13,names-only,144,60,35.0,83.0,12,1901-05,1905.0,no CPR land,False,T37-48 (parkland),,-103.8177,52.9727,
71,W2,13,49,R13,names-only,144,108,40.0,78.0,12,1911+,1924.0,no CPR land,False,T49+ (forest fringe),C,-103.8314,53.2346,
72,W2,13,52,R13,empty,144,8,38.0,6.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-103.8481,53.4963,few homestead files — quick township
73,W2,13,55,R13,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-103.8652,53.7582,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
74,W2,16,1,R16,names-only,144,111,54.0,81.0,12,1911+,1927.0,no CPR land,False,T1-12 (south),F,-104.0765,49.0437,
75,W2,16,4,R16,names-only,144,110,37.0,79.0,12,1906-10,1911.0,no CPR land,False,T1-12 (south),F,-104.0916,49.3044,
76,W2,16,25,R16,names-only,144,78,24.0,89.0,12,1901-05,,no CPR land,True,T25-36,,-104.1704,51.1394,
77,W2,16,28,R16,names-only,144,57,35.0,76.0,12,1906-10,1908.0,some CPR,True,T25-36,,-104.1995,51.4313,
78,W2,16,31,R16,names-only,100,85,51.0,88.0,12,1901-05,1908.0,no CPR land,True,T25-36,,-104.2055,51.6633,
79,W2,16,34,R16,names-only,144,47,43.0,47.0,12,1901-05,1905.0,no CPR land,False,T25-36,,-104.2033,51.9252,
80,W2,16,37,R16,names-only,144,67,37.0,88.0,12,1890s,1905.0,no CPR land,False,T37-48 (parkland),,-104.2204,52.1877,
81,W2,16,40,R16,names-only,144,54,33.0,35.0,12,1890s,,no CPR land,True,T37-48 (parkland),,-104.2371,52.4493,
82,W2,16,43,R16,names-only,144,92,45.0,86.0,12,1890s,1905.0,no CPR land,True,T37-48 (parkland),,-104.2531,52.7109,
83,W2,16,46,R16,names-only,144,75,27.0,86.0,12,1890s,1905.0,no CPR land,False,T37-48 (parkland),,-104.253,52.9728,
84,W2,16,49,R16,names-only,144,76,42.0,74.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-104.2703,53.2346,
85,W2,16,52,R16,names-only,144,45,60.0,35.0,12,1911+,1932.0,no CPR land,False,T49+ (forest fringe),C,-104.2903,53.4963,
86,W2,16,55,R16,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-104.3117,53.7581,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
