Alcock,ALBERTA,,,,,,,,,,,,,,,,,,,,,94000,,,,
Alcock..... (Glendon),ALBERTA,,,,,,,,,,,,,,,,,,,94000,94000,,,,,
Alcomdale,ALBERTA,53.89306,-113.83806,,,,,,,,,,40000,40000,40000,40000,40000,40000,40000,40000,35000,,65000,65000,130000,65000
Alderson,ALBERTA,50.28306,-111.34528,,,,,70000,107000,127000,127000,127000,125000,125000,65000,30000,,,,,,,,,,
Aldersyde,ALBERTA,50.67611,-113.87889,85000,55000,55000,55000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,,123500,123500,117500,149000,234000,117000
Aleomdale,ALBERTA,53.89306,-113.83806,,,,,,,,,,,,,,,,,,,35000,,,,
Alexander,MANITOBA,49.83,-100.29528,159000,135000,170000,140000,135000,100000,130000,130000,100000,100000,,100000,0,70000,70000,110000,80000,0,80000,80000,80000,80000,80000
Alexander.....*,MANITOBA,49.83,-100.29528,,,,,,,,,,,100000,,,,,,,,,,,,
Alhambra,ALBERTA,52.34306,-114.6725,,,,,,,,,,,,,30000,30000,30000,30000,,30000,28000,26000,26000,52000,26000
Alida,MANITOBA,49.38901,-101.87429,,,55000,55000,,55000,50000,55000,55000,55000,55000,55000,55000,55000,60000,90000,85000,90000,90000,84000,75000,150000,75000
"Alida,",MANITOBA,49.38901,-101.87429,,,,,50000,,,,,,,,,,,,,,,,,,
Alix,ALBERTA,52.4,-113.17972,15000,10000,,10000,10000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,25000,35000,54000,54000,108000,20000
Alix..... (See page 125),ALBERTA,52.4,-113.17972,,,,,,,,,,,,,,,,,,,,,,,34000
Alix..... (also C.N.R.),ALBERTA,52.4,-113.17972,,,,,,,,,,,,,,,,,,,20000,,,,
Alix..... (also C.P.R.),ALBERTA,52.4,-113.17972,,,,,,,,,,,,,,,,,,35000,,,,,
Aliz,ALBERTA,,,,,10000,,,,,,,,,,,,,,,,,,,,
Allan,SASKATCHEWAN,51.89588,-106.06037,90000,90000,90000,90000,90000,90000,120000,120000,120000,120000,120000,120000,160000,160000,160000,160000,150000,194000,192000,178000,176000,354000,177000
Alliance,ALBERTA,52.43444,-111.78528,,,,,30000,60000,,105000,135000,135000,215000,225000,225000,225000,255000,315000,330000,340000,318000,346000,330000,662000,351000
Alliance Branch Mile- age 10,ALBERTA,,,,,,,,,,,,,,,,,,25000,,,,,,,
Alliance Sub. (Siding 4-4),ALBERTA,,,,,,,,,,,,,,,,,15000,15000,,,,,,,
Allingham,ALBERTA,51.70278,-113.59528,,,,,,,,,,,,,,,,,,,64000,59000,59000,120000,60000
Alness,ALBERTA,51.65417,-111.73139,,,,30000,30000,30000,,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,
Alonsa,MANITOBA,50.79889,-98.97444,,,,,,,,,,,,30000,30000,30000,30000,,30000,30000,30000,,,,
Alsask,SASKATCHEWAN,51.37972,-109.99701,,58000,58000,,88000,98000,,178000,178000,208000,178000,178000,178000,178000,108000,108000,115000,110000,120000,96000,96000,194000,97000
Alstock,SASKATCHEWAN,51.31087,-103.98005,,,,,,,205000,,,,,,,,,,,,,,,,
Altamont,MANITOBA,49.39861,-98.49722,65000,53000,55000,85000,85000,0,51000,51000,51000,51000,51000,51000,51000,83000,97000,,97000,97000,97000,80000,80000,166000,83000
Altario,ALBERTA,51.91861,-110.16222,,,,,,,,,,60000,60000,60000,60000,60000,60000,60000,,95000,110000,70000,69000,138000,69000
Alticane,SASKATCHEWAN,52.90006,-107.48395,,,,,,,,,,,,,,,,,35000,65000,61000,61000,61000,65000,65000
Alticané,SASKATCHEWAN,52.90006,-107.48395,,,,,,,,,,,,,,,,,,,,,,65000,
Altona,MANITOBA,49.10472,-97.55889,136000,149000,131000,131000,131000,131000,131000,131000,131000,131000,111000,111000,0,111000,111000,111000,113000,0,104000,111500,116500,116500,116500
Alvena,SASKATCHEWAN,52.51841,-106.01926,,,,,,,,,,,,,,,,,,40000,71000,176800,176800,353600,176800
Amaranth,MANITOBA,50.59556,-98.73833,,,,,,,24500,20000,20000,20000,20000,20000,20000,20000,20000,,20000,20000,20000,,,,
Amazon,SASKATCHEWAN,51.55004,-105.45059,,30000,30000,30000,30000,30000,30000,,30000,30000,60000,90000,90000,90000,95000,95000,95000,95000,91000,63000,68000,136000,68000
Ambassador,SASKATCHEWAN,51.5667,-105.01724,,,,30000,30000,30000,30000,,30000,30000,30000,60000,60000,60000,60000,55000,55000,60000,58000,56000,51000,102000,51000
Amberley,SASKATCHEWAN,,,,,,,,,,,,,,,30000,,,,,,,,,,
Amiens,SASKATCHEWAN,53.31672,-107.2506,,,,,,,,,,,,,,,,,,,,30000,30000,60000,30000
Amisk,ALBERTA,52.56556,-111.05722,5000,17000,17000,52000,60000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,97000,,90500,96500,110000,140000,240000,120000
Amsterdam,SASKATCHEWAN,51.7478,-102.45898,,,,,30000,30000,30000,60000,60000,60000,60000,60000,85000,85000,85000,85000,85000,85000,72000,67000,67000,134000,67000
Amulet,SASKATCHEWAN,49.6167,-104.75055,25000,50000,53000,50000,50000,50000,,,55000,55000,55000,55000,55000,55000,55000,58000,58000,95000,65000,55000,55000,130000,65000
Andrew,ALBERTA,53.87833,-112.33528,,,,,,,,,,,,,,,,,,205000,205000,198000,198000,402000,201000
Anerley,SASKATCHEWAN,51.36671,-107.31732,,,30000,60000,60000,60000,66000,66000,66000,66000,66000,66000,66000,66000,66000,91000,77000,89000,88000,77000,77000,156000,78000
Aneroid,SASKATCHEWAN,49.71641,-107.3001,,,88000,118000,118000,148000,205000,,206000,201000,201000,201000,201000,233000,215000,212000,212000,202000,198000,183000,178000,362000,181000
Anglia,SASKATCHEWAN,51.56672,-108.16736,,30000,60000,60000,90000,90000,,,93000,93000,93000,93000,93000,93000,90000,90000,120000,,111000,112000,112000,224000,112000
Anglin,SASKATCHEWAN,51.56672,-108.16736,,,,,,,,,,,,,,,,,,116000,,,,,
Angusville,MANITOBA,50.73556,-101.02056,50000,50000,50000,50000,55000,0,85000,95000,100000,100000,155000,185000,185000,185000,185000,,167000,167000,122000,146000,146000,292000,146000
Ankerton,ALBERTA,52.73028,-112.33,,,,,,,,,95000,65000,100000,100000,100000,100000,100000,100000,100000,100000,95000,85000,85000,170000,55000
Antelope,SASKATCHEWAN,50.15004,-108.33403,,,58000,0,58000,88000,105000,,118000,118000,118000,118000,118000,118000,118000,115000,115000,115000,121000,114000,99000,244000,122000
Antler,MANITOBA,49.56605,-101.45752,80000,80000,80000,0,80000,75000,75000,,78000,78000,78000,78000,78000,78000,78000,108000,113000,115000,110000,109000,84000,214000,59000
Aquadell,SASKATCHEWAN,50.63336,-106.78396,,,,,,,,,,,,,,,,,,,35000,35000,35000,70000,35000
Arat,SASKATCHEWAN,,,30000,,,,,,,,,,,,,,,,,,,,,,
Arberg,MANITOBA,50.90722,-97.21694,,,,,,,5000,,,,,,,,,,,,,,,,
Arborfield,SASKATCHEWAN,53.10567,-103.66074,,,,,,,,,,,,,,,,,,129000,127000,190000,211000,422000,211000
