station,province,lat,lon,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1923,1924,1925,1926,1927,1928,1929,1930,1939,1940,1941,1943
$St. Boniface,MANITOBA,49.875,-97.07972,,6,,,,,,,,,,,,,,,,,,,,,
* Brunkild,MANITOBA,49.59278,-97.57444,,,,,,1,,,,,,,,,,,,,,,,,
*Calgary,ALBERTA,51.04583,-114.0575,,,,,,1,,,,,,,,,,,,,,,,,
"*Edmonton..... (See pages 132, 151, 171 and 172)",ALBERTA,53.53444,-113.49028,,,,,,,,,,,,,,,,,,,,,,,1
*Moose Jaw,ALBERTA,,,,,,,,1,,,,,,,,,,,,,,,,,
*Moose Jaw,BRITISH COLUMBIA,,,,,,1,,,,,,,,,,,,,,,,,,,
*Not Licensed,MANITOBA,,,1,,,,,,,,,,,,,,,,,,,,,,
*Saskatoon,ALBERTA,,,,,,,,1,,,,,,,,,,,,,,,,,
*Saskatoon,BRITISH COLUMBIA,,,,,,1,,,,,,,,,,,,,,,,,,,
*St. Boniface,MANITOBA,49.875,-97.07972,,,1,,,,,,,,,,,,,,,,,,,,
-Froude,SASKATCHEWAN,49.67301,-103.28091,,,,,,,,,,,,,,,,,,,,,,3,
1st Siding South of Melfort,SASKATCHEWAN,,,,1,1,,,,,,,,,,,,,,,,,,,,
1st Siding West of Tessier,SASKATCHEWAN,,,,1,,,,,,,,,,,,,,,,,,,,,
2nd Siding South of Melfort,SASKATCHEWAN,,,,1,,,,,,,,,,,,,,,,,,,,,
Abbey,SASKATCHEWAN,50.73664,-108.75758,,,3,3,4,6,6,6,5,5,5,5,5,5,5,5,5,5,6,5,5,10,5
Abbott,SASKATCHEWAN,49.58337,-104.40054,,,,,,,,,,,,,,,,,,1,1,1,1,2,1
Abee,ALBERTA,54.23778,-113.02778,,,,,,,,,,,,,,,,,,,1,1,1,2,1
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,4,5,5,5,5,,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,12,6
Aberdeen.....✓,SASKATCHEWAN,52.32554,-106.29151,,,,,,5,,,,,,,,,,,,,,,,,
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,4,2
Abernethy,SASKATCHEWAN,50.74453,-103.41816,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5
Academy,ALBERTA,50.85667,-114.04028,,,,,,,,,,,,,,,,,,,,1,1,2,1
Acadia Valley,ALBERTA,51.15694,-110.20972,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,2
Acheson,ALBERTA,53.55028,-113.77472,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,4,2
Acme,ALBERTA,51.49722,-113.50861,2,2,3,3,3,4,,4,4,4,4,4,4,4,4,5,,5,5,5,5,10,5
Adair,SASKATCHEWAN,50.331,-103.169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2
Adams,SASKATCHEWAN,50.46671,-104.86722,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2
Adanac,SASKATCHEWAN,52.45285,-109.05628,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,8,4
Adine,SASKATCHEWAN,,,,,,,,,,,,,,,1,,,,,,,,,,
Admiral,SASKATCHEWAN,49.71669,-108.01735,,,,2,3,4,5,4,4,4,4,5,5,5,5,5,6,5,5,4,4,8,4
Agnew,MANITOBA,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1
Aikens,SASKATCHEWAN,,,,1,1,1,1,2,,2,2,1,1,1,1,1,,,,,,,,,
Aikins,SASKATCHEWAN,50.33337,-107.70067,1,,,,,,2,,,,,,,,,1,,1,1,,,,
Aiktow,SASKATCHEWAN,51.03011,-106.50887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Airdrie,ALBERTA,51.29222,-114.01417,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,,3,3,3,3,6,3
Airedale,SASKATCHEWAN,,,,,,,,,,,,,,,1,,,,,,,,,,
Ajkins,SASKATCHEWAN,50.33337,-107.70067,,,,,,,,,,,,,,,1,,,,,,,,
Alameda,SASKATCHEWAN,49.26815,-102.28706,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,8,4
Alaska,SASKATCHEWAN,,,,,,2,,,,,,,,,,,,,,,,,,,
Albertville,SASKATCHEWAN,53.39445,-105.53826,,,,,,,,,,,,,,,,,,,,1,1,2,1
Albright,ALBERTA,55.26583,-119.49722,,,,,,,,,,,,,,,,,,1,1,1,1,2,1
Alcester,MANITOBA,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,
Alcock,ALBERTA,,,,,,,,,,,,,,,,,,,,,3,,,,
Alcock..... (Glendon),ALBERTA,,,,,,,,,,,,,,,,,,,3,3,,,,,
Alcomdale,ALBERTA,53.89306,-113.83806,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,2,4,2
Alderson,ALBERTA,50.28306,-111.34528,,,,,3,4,4,4,4,4,4,2,1,,,,,,,,,,
Aldersyde,ALBERTA,50.67611,-113.87889,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,,4,4,4,4,8,4
Aleomdale,ALBERTA,53.89306,-113.83806,,,,,,,,,,,,,,,,,,,1,,,,
Alexander,MANITOBA,49.83,-100.29528,5,4,5,4,4,3,4,4,3,3,,3,1,2,2,3,2,1,2,2,2,3,2
Alexander.....*,MANITOBA,49.83,-100.29528,,,,,,,,,,,3,,,,,,,,,,,,
Alhambra,ALBERTA,52.34306,-114.6725,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,2,1
Alida,MANITOBA,49.38901,-101.87429,,,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,6,3
"Alida,",MANITOBA,49.38901,-101.87429,,,,,2,,,,,,,,,,,,,,,,,,
Alix,ALBERTA,52.4,-113.17972,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,2,2,4,1
Alix..... (See page 125),ALBERTA,52.4,-113.17972,,,,,,,,,,,,,,,,,,,,,,,1
Alix..... (also C.N.R.),ALBERTA,52.4,-113.17972,,,,,,,,,,,,,,,,,,,1,,,,
Alix..... (also C.P.R.),ALBERTA,52.4,-113.17972,,,,,,,,,,,,,,,,,,1,,,,,
Aliz,ALBERTA,,,,,1,,,,,,,,,,,,,,,,,,,,
Allan,SASKATCHEWAN,51.89588,-106.06037,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,12,6
Alliance,ALBERTA,52.43444,-111.78528,,,,,1,2,,3,3,3,4,4,4,4,5,6,6,6,6,6,6,12,6
Alliance Branch Mile- age 10,ALBERTA,,,,,,,,,,,,,,,,,,1,,,,,,,
Alliance Sub. (Siding 4-4),ALBERTA,,,,,,,,,,,,,,,,,1,1,,,,,,,
Allingham,ALBERTA,51.70278,-113.59528,,,,,,,,,,,,,,,,,,,2,2,2,4,2
Alness,ALBERTA,51.65417,-111.73139,,,,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,
Alonsa,MANITOBA,50.79889,-98.97444,,,,,,,,,,,,1,1,1,1,,1,1,1,,,,
Alsask,SASKATCHEWAN,51.37972,-109.99701,,2,2,,3,3,,5,5,6,5,5,5,5,3,3,3,3,3,3,3,6,3
Alstock,SASKATCHEWAN,51.31087,-103.98005,,,,,,,6,,,,,,,,,,,,,,,,
Altamont,MANITOBA,49.39861,-98.49722,2,2,2,3,3,1,2,2,2,2,2,2,2,3,3,,3,3,3,3,3,6,3
Altario,ALBERTA,51.91861,-110.16222,,,,,,,,,,2,2,2,2,2,2,2,,3,3,2,2,4,2
Alticane,SASKATCHEWAN,52.90006,-107.48395,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2
Alticané,SASKATCHEWAN,52.90006,-107.48395,,,,,,,,,,,,,,,,,,,,,,2,
Altona,MANITOBA,49.10472,-97.55889,4,5,4,4,4,4,4,4,4,4,3,3,1,3,3,3,3,1,3,3,3,4,3
Alvena,SASKATCHEWAN,52.51841,-106.01926,,,,,,,,,,,,,,,,,,1,2,4,4,8,4
Amaranth,MANITOBA,50.59556,-98.73833,,,,,,,2,1,1,1,1,1,1,1,1,,1,1,1,,,,
Amazon,SASKATCHEWAN,51.55004,-105.45059,,1,1,1,1,1,1,,1,1,2,3,3,3,3,3,3,3,3,2,2,4,2
Ambassador,SASKATCHEWAN,51.5667,-105.01724,,,,1,1,1,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2
Amberley,SASKATCHEWAN,,,,,,,,,,,,,,,1,,,,,,,,,,
Amiens,SASKATCHEWAN,53.31672,-107.2506,,,,,,,,,,,,,,,,,,,,1,1,2,1
Amisk,ALBERTA,52.56556,-111.05722,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,,3,3,3,3,6,3
Amsterdam,SASKATCHEWAN,51.7478,-102.45898,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
Amulet,SASKATCHEWAN,49.6167,-104.75055,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2
Andrew,ALBERTA,53.87833,-112.33528,,,,,,,,,,,,,,,,,,6,6,6,6,12,6
Anerley,SASKATCHEWAN,51.36671,-107.31732,,,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,6,3
Aneroid,SASKATCHEWAN,49.71641,-107.3001,,,3,4,4,5,7,,7,7,7,7,7,8,7,7,7,7,7,7,7,14,7
Anglia,SASKATCHEWAN,51.56672,-108.16736,,1,2,2,3,3,,,3,3,3,3,3,3,3,3,4,,4,4,4,8,4
Anglin,SASKATCHEWAN,51.56672,-108.16736,,,,,,,,,,,,,,,,,,4,,,,,
Angusville,MANITOBA,50.73556,-101.02056,2,2,2,2,2,1,3,3,3,3,3,4,4,4,4,,4,4,4,4,4,8,4
Ankerton,ALBERTA,52.73028,-112.33,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
Antelope,SASKATCHEWAN,50.15004,-108.33403,,,2,1,2,3,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4
Antler,MANITOBA,49.56605,-101.45752,3,3,3,1,3,3,3,,3,3,3,3,3,3,3,4,4,4,4,4,4,8,4
Aquadell,SASKATCHEWAN,50.63336,-106.78396,,,,,,,,,,,,,,,,,,,1,1,1,2,1
Arat,SASKATCHEWAN,,,1,,,,,,,,,,,,,,,,,,,,,,
Arberg,MANITOBA,50.90722,-97.21694,,,,,,,1,,,,,,,,,,,,,,,,
Arborfield,SASKATCHEWAN,53.10567,-103.66074,,,,,,,,,,,,,,,,,,4,4,5,5,10,5
Arborg,MANITOBA,50.90722,-97.21694,,,,,,,,1,1,1,1,2,1,2,2,2,2,1,2,2,3,4,3
Arbuthnot,SASKATCHEWAN,49.8167,-106.90063,,,,,,,,,,,,,,,,,,,,2,2,4,2
Archerwell,SASKATCHEWAN,52.43899,-103.86101,,,,,,,,,,,,,2,,,,,,,,,,
Archerwill,SASKATCHEWAN,52.43899,-103.86101,,,,,,,,,,,,,,2,2,2,2,2,2,3,3,6,3
Archive,SASKATCHEWAN,50.28336,-105.61724,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Archydal,SASKATCHEWAN,50.48336,-105.75058,,,,,1,1,1,1,,,,,,1,1,1,2,2,2,2,2,4,2
Archydale,SASKATCHEWAN,50.48336,-105.75058,,,2,1,,,,,1,1,1,1,1,,,,,,,,,,
Arclee,SASKATCHEWAN,52.25923,-107.50326,,,,,,,,,,,,,,,,,,4,,,,,
Arcola,SASKATCHEWAN,49.63545,-102.49192,6,5,6,1,6,5,6,,6,5,5,5,5,5,5,3,4,4,4,4,4,8,4
Ardath,SASKATCHEWAN,51.61671,-107.23398,1,3,3,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,3,3,6,3
Ardell,SASKATCHEWAN,49.92685,-109.3222,,,,,,,2,,,,,,,,,,,,,,,,
Arden,MANITOBA,50.27722,-99.26972,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,1,3,3,3,4,3
Ardenode,ALBERTA,51.14444,-113.42361,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Ardill,SASKATCHEWAN,49.93923,-105.84199,,,,,1,2,,2,2,3,3,4,3,3,3,3,3,3,3,3,3,6,3
Ardley,ALBERTA,52.26139,-113.2275,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Ardmore,ALBERTA,54.33194,-110.48278,,,,,,,,,,,,,,,,,,,,1,1,2,
Ardmore..... (Formerly Coste),ALBERTA,54.33194,-110.48278,,,,,,,,,,,,,,,,,,,,,,,1
