station,province,lat,lon,elevator_rows,n_owners,n_years,first_year,last_year,top_owner,top_rail,max_capacity_bushels,coord_source
Calgary,ALBERTA,51.04583,-114.0575,137,54,22,1911,1943,Robin Hood Mills Ltd,Canadian Pacific,2600000,cgn_direct
Aneroid,SASKATCHEWAN,49.71641,-107.3001,136,29,20,1913,1943,N M Paterson & Co Ltd,Canadian Pacific,35000,cgn_direct
Foam Lake,SASKATCHEWAN,51.64108,-103.53955,135,19,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Wilcox,SASKATCHEWAN,50.09703,-104.72506,135,35,23,1911,1943,N M Paterson & Co Ltd,Canadian Pacific,90000,cgn_direct
Granum,ALBERTA,49.87111,-113.50833,135,23,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,84000,cgn_direct
Morse,SASKATCHEWAN,50.41504,-107.03874,133,33,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Swift Current,SASKATCHEWAN,50.28816,-107.79389,133,36,22,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,45000,cgn_direct
Lang,SASKATCHEWAN,49.91959,-104.37235,132,19,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,115000,cgn_direct
Provost,ALBERTA,52.35333,-110.26472,132,29,23,1911,1943,United Grain Growers Ltd,Canadian Pacific,65000,cgn_direct
Wetaskiwin,ALBERTA,52.96917,-113.37694,132,32,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,114000,cgn_direct
Winnipeg,MANITOBA,49.88444,-97.14639,130,49,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,1192000,cgn_direct
Weyburn,SASKATCHEWAN,49.66098,-103.85263,130,34,22,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,155000,cgn_direct
Cupar,SASKATCHEWAN,50.94666,-104.21096,129,28,22,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,70000,cgn_direct
Canora,SASKATCHEWAN,51.63638,-102.43101,129,28,23,1911,1943,Northern Elevator Co Ltd,Canadian National Rys,38000,cgn_direct
Champion,ALBERTA,50.23972,-113.14806,127,26,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,84000,cgn_direct
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,127,26,22,1911,1943,Northern Elevator Co Ltd,Canadian National Rys,50000,cgn_direct
Simpson,SASKATCHEWAN,51.4526,-105.44503,126,27,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Borden,SASKATCHEWAN,52.40575,-107.24111,126,25,23,1911,1943,National Elevator Co Ltd,Canadian National Rys,61000,cgn_direct
Davidson,SASKATCHEWAN,51.25916,-105.98593,126,26,22,1912,1943,British America Elevator Co Ltd,Canadian National Rys,67000,cgn_direct
Carstairs,ALBERTA,51.56556,-114.09944,125,33,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,84000,cgn_direct
Luseland,SASKATCHEWAN,52.07963,-109.38989,122,20,23,1911,1943,North Star Grain Co Ltd,Canadian Pacific,55000,cgn_direct
Killam,ALBERTA,52.78972,-111.85528,122,30,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,101000,cgn_direct
Dauphin,MANITOBA,51.14944,-100.04944,121,21,22,1911,1943,United Grain Growers Ltd,Canadian National Rys,60500,cgn_direct
Blackie,ALBERTA,50.60444,-113.62278,121,20,22,1912,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,85000,cgn_direct
Limerick,SASKATCHEWAN,49.65302,-106.2654,121,25,20,1913,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Abernethy,SASKATCHEWAN,50.74453,-103.41816,120,25,23,1911,1943,North Star Grain Co Ltd,Canadian Pacific,40000,cgn_direct
Fillmore,SASKATCHEWAN,49.87947,-103.43388,120,20,23,1911,1943,Maple Leaf Milling Co Ltd,Canadian Pacific,42000,cgn_direct
Lemberg,SASKATCHEWAN,50.73157,-103.20334,119,29,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,75000,cgn_direct
Kinistino,SASKATCHEWAN,52.95081,-105.02997,119,20,22,1911,1943,Searle Grain Co Ltd,Canadian National Rys,70000,cgn_direct
Vegreville,ALBERTA,53.49556,-112.05167,119,30,23,1911,1943,British America Elevator Co Ltd,Canadian National Rys,110000,cgn_direct
Ponteix,SASKATCHEWAN,49.74473,-107.48724,119,15,19,1915,1943,Pioneer Grain Co Ltd,Canadian Pacific,80000,cgn_direct
Dinsmore,SASKATCHEWAN,51.3309,-107.44534,119,24,21,1913,1943,Saskatchewan Elevator Co Ltd,Canadian National Rys,80000,cgn_direct
Sceptre,SASKATCHEWAN,50.86499,-109.26981,118,21,21,1913,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,70000,cgn_direct
Woodrow,SASKATCHEWAN,49.69398,-106.72324,118,19,21,1913,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Star City,SASKATCHEWAN,52.86181,-104.33172,117,23,23,1911,1943,National Elevator Co Ltd,Canadian National Rys,75000,cgn_direct
Rhein,SASKATCHEWAN,51.35288,-102.19159,117,25,21,1912,1943,N Bawlf Grain Co Ltd,Canadian National Rys,60000,cgn_direct
Glenside,SASKATCHEWAN,51.45343,-106.80524,116,21,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,210000,cgn_direct
Loreburn,SASKATCHEWAN,51.23082,-106.59959,116,19,22,1911,1943,Central Grain Co Ltd,Canadian Pacific,45000,cgn_direct
Sintaluta,SASKATCHEWAN,50.4769,-103.44967,116,25,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,55000,cgn_direct
Tompkins,SASKATCHEWAN,50.06246,-108.79218,116,28,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,45000,cgn_direct
Blaine Lake,SASKATCHEWAN,52.8283,-106.88143,116,21,22,1912,1943,National Elevator Co Ltd,Canadian National Rys,62000,cgn_direct
Delia,ALBERTA,51.63056,-112.37389,116,27,18,1915,1943,United Grain Growers Ltd,Canadian National Rys,136000,cgn_direct
Holland,MANITOBA,49.5975,-98.87944,115,21,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Hayter,ALBERTA,52.35639,-110.10778,115,18,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,80000,cgn_direct
Lougheed,ALBERTA,52.74444,-111.54278,115,19,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,106000,cgn_direct
Kamsack,MANITOBA,51.56119,-101.89644,115,28,22,1911,1943,Pioneer Grain Co Ltd,Canadian National Rys,65000,cgn_direct
Vanguard,SASKATCHEWAN,49.90949,-107.30172,115,36,22,1912,1943,State Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Hazenmore,SASKATCHEWAN,49.68729,-107.13915,115,16,21,1913,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Magrath,ALBERTA,49.40778,-112.86667,114,23,22,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,81800,cgn_direct
Delisle,SASKATCHEWAN,51.92169,-107.135,114,19,23,1911,1943,Quaker Oats Co,Canadian National Rys,50000,cgn_direct
Duval,SASKATCHEWAN,51.15724,-104.99049,113,16,22,1911,1943,North Star Grain Co Ltd,Canadian Pacific,40000,cgn_direct
Southey,SASKATCHEWAN,50.94287,-104.49961,113,17,22,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,70000,cgn_direct
Wolseley,SASKATCHEWAN,50.42218,-103.27212,113,32,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,45000,cgn_direct
Vancouver,BRITISH COLUMBIA,49.26111,-123.11389,113,48,20,1911,1941,Canadian Pacific Railway Co,Canadian Pacific,5150000,cgn_direct
Rosthern,SASKATCHEWAN,52.66263,-106.33382,113,26,21,1912,1943,Lake Of The Woods Milling Co Ltd,Canadian National Rys,40000,cgn_direct
Kincaid,SASKATCHEWAN,49.66977,-107.00641,113,30,19,1913,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Imperial,SASKATCHEWAN,51.34791,-105.44082,112,21,23,1911,1943,State Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Sovereign,SASKATCHEWAN,51.5116,-107.7212,112,21,23,1911,1943,Haddington Farms Ltd,Canadian Pacific,67000,cgn_direct
Tessier,SASKATCHEWAN,51.80707,-107.42738,112,27,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,60000,cgn_direct
Assiniboia,SASKATCHEWAN,49.62911,-105.98863,112,35,20,1913,1943,North Star Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Girvin,SASKATCHEWAN,51.15003,-105.91726,111,20,23,1911,1943,British America Elevator Co Ltd,Canadian National Rys,50000,cgn_direct
Maple Creek,SASKATCHEWAN,49.90212,-109.48613,110,23,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Buchanan,SASKATCHEWAN,51.70688,-102.7559,110,28,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,90000,cgn_direct
Newdale,MANITOBA,50.35167,-100.20333,109,19,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,54000,cgn_direct
Estevan,SASKATCHEWAN,49.13928,-102.98598,109,38,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,40000,cgn_direct
Yellow Grass,SASKATCHEWAN,49.80655,-104.16346,109,21,23,1911,1943,Western Elevator Co Ltd,Canadian Pacific,64000,cgn_direct
Edmonton,ALBERTA,53.53444,-113.49028,109,32,23,1911,1943,Campbell & Ottewell,Canadian Northern Ry Co,2500000,cgn_direct
Allan,SASKATCHEWAN,51.89588,-106.06037,109,22,23,1911,1943,Western Canada Flour Mills Co Ltd,Canadian National Rys,45000,cgn_direct
Three Hills,ALBERTA,51.70306,-113.26861,109,22,21,1912,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,100000,cgn_direct
Abbey,SASKATCHEWAN,50.73664,-108.75758,109,17,21,1913,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,45000,cgn_direct
Wiseton,SASKATCHEWAN,51.31286,-107.6491,109,24,20,1914,1943,State Elevator Co Ltd,Canadian National Rys,70000,cgn_direct
Gainsboro,MANITOBA,49.17679,-101.44834,108,28,23,1911,1943,N M Paterson & Co Ltd,Canadian Pacific,35000,cgn_direct
Stoughton,SASKATCHEWAN,49.67731,-103.02813,108,19,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Didsbury,ALBERTA,51.65944,-114.1375,108,28,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,95000,cgn_direct
Sedgewick,ALBERTA,52.77472,-111.69278,108,26,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,63000,cgn_direct
Zealandia,SASKATCHEWAN,51.61642,-107.74403,108,22,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,50000,cgn_direct
Mazenod,SASKATCHEWAN,49.85983,-106.21303,108,20,20,1913,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,62000,cgn_direct
Arcola,SASKATCHEWAN,49.63545,-102.49192,107,35,22,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Govan,SASKATCHEWAN,51.3108,-104.99522,107,17,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,44000,cgn_direct
Markinch,SASKATCHEWAN,50.93918,-104.36235,107,24,23,1911,1943,North Star Grain Co Ltd,Canadian Pacific,50000,cgn_direct
Wapella,MANITOBA,50.25958,-101.97298,107,22,23,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,55000,cgn_direct
Aylesbury,SASKATCHEWAN,50.93917,-105.69407,107,27,23,1911,1943,State Elevator Co Ltd,Canadian National Rys,39000,cgn_direct
Kisbey,SASKATCHEWAN,49.64628,-102.67263,106,35,23,1911,1943,Northern Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Tugaske,SASKATCHEWAN,50.87399,-106.28751,106,21,21,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,45000,cgn_direct
Woodhouse,ALBERTA,49.94167,-113.53944,106,26,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,77000,cgn_direct
Radisson,SASKATCHEWAN,52.46294,-107.39546,106,25,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,56000,cgn_direct
Neville,SASKATCHEWAN,49.96393,-107.62868,106,21,22,1912,1943,State Elevator Co Ltd,Canadian Pacific,45000,cgn_direct
Brant,ALBERTA,50.51694,-113.51167,106,23,22,1912,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,84000,cgn_direct
Rush Lake,SASKATCHEWAN,50.40376,-107.40252,105,24,23,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,35000,cgn_direct
Maidstone,SASKATCHEWAN,53.08612,-109.29644,105,18,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,80000,cgn_direct
Oyen,ALBERTA,51.35278,-110.48333,105,27,21,1912,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,91000,cgn_direct
Gretna,MANITOBA,49.00778,-97.56167,104,25,23,1911,1943,Henry Ritz,Canadian Pacific,44000,cgn_direct
Gleichen,ALBERTA,50.86611,-113.05472,104,21,22,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,95000,cgn_direct
Rosetown,SASKATCHEWAN,51.55485,-107.99018,104,35,21,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Northern Ry Co,50000,cgn_direct
Denzil,SASKATCHEWAN,52.2271,-109.65145,104,12,22,1912,1943,North Star Grain Co Ltd,Canadian Pacific,70000,cgn_direct
Broderick,SASKATCHEWAN,51.48912,-106.91782,104,22,21,1913,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,40000,cgn_direct
Kindersley,SASKATCHEWAN,51.46768,-109.15661,103,25,23,1911,1943,Pioneer Grain Co Ltd,Canadian National Rys,45000,cgn_direct
Fort Saskatchewan,ALBERTA,53.71111,-113.21778,103,18,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,80000,cgn_direct
Hawarden,SASKATCHEWAN,51.41306,-106.60193,102,23,22,1911,1943,Mutual Grain Co Ltd,Canadian Pacific,40000,cgn_direct
Holdfast,SASKATCHEWAN,50.95825,-105.42156,102,17,22,1911,1943,United Grain Growers Ltd,Canadian Pacific,40000,cgn_direct
Saltcoats,SASKATCHEWAN,51.04065,-102.16692,102,22,22,1911,1943,United Grain Growers Ltd,Canadian Pacific,60000,cgn_direct
Viscount,SASKATCHEWAN,51.94902,-105.65248,102,15,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Cayley,ALBERTA,50.44806,-113.84722,102,27,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,76000,cgn_direct
Roblin,MANITOBA,51.23,-101.35556,102,17,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,75000,cgn_direct
Basswood,MANITOBA,50.30139,-100.03361,102,25,22,1912,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Daysland,ALBERTA,52.86417,-112.255,102,24,21,1912,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,69000,cgn_direct
Hughton,SASKATCHEWAN,51.23338,-107.91734,102,25,18,1915,1943,M M Hess,Canadian National Rys,55000,cgn_direct
Monitor,ALBERTA,51.97833,-110.56944,102,16,21,1913,1943,United Grain Growers Ltd,Canadian Pacific,35000,cgn_direct
Drinkwater,SASKATCHEWAN,50.29494,-105.1338,101,23,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,36000,cgn_direct
Leduc,ALBERTA,53.26667,-113.54583,101,23,22,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Harris,SASKATCHEWAN,51.73298,-107.58031,101,30,22,1911,1943,Pioneer Grain Co Ltd,Canadian National Rys,110000,cgn_direct
Madison,SASKATCHEWAN,51.21672,-109.0174,101,22,18,1911,1943,North Star Grain Co Ltd,Canadian National Rys,40000,cgn_direct
Vonda,SASKATCHEWAN,52.32364,-106.09438,101,21,23,1911,1943,British America Elevator Co Ltd,Canadian National Rys,40000,cgn_direct
