station,province,lat,lon,elevator_rows,n_owners,n_years,first_year,last_year,top_owner,top_rail,max_capacity_bushels,coord_source
Cardale,MANITOBA,50.23667,-100.32111,49,12,22,1911,1943,N Bawlf Grain Co Ltd,Canadian National Rys,60000,cgn_direct
Durban,MANITOBA,51.92917,-101.44056,49,10,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,38000,cgn_direct
Makinak,MANITOBA,50.98278,-99.66472,49,6,23,1911,1943,C L Vickery,Canadian National Rys,25000,cgn_direct
St. Jean,MANITOBA,49.26556,-97.33972,49,9,23,1911,1943,N M Paterson & Co Ltd,Canadian National Rys,35000,agent_high
Bulyea,SASKATCHEWAN,50.98648,-104.86818,49,8,22,1912,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,40000,cgn_direct
Craven,SASKATCHEWAN,50.70816,-104.8095,49,14,22,1912,1943,Parrish & Heimbecker Ltd,Canadian Pacific,37000,cgn_direct
Clair,SASKATCHEWAN,52.0174,-104.07238,49,11,22,1912,1943,Saskatchewan Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Regent,MANITOBA,49.34083,-100.31194,49,9,19,1913,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Leroy,SASKATCHEWAN,52.00291,-104.73882,49,8,13,1921,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,32000,cgn_direct
Laporte,SASKATCHEWAN,51.21455,-109.51039,49,9,15,1919,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Turtleford,SASKATCHEWAN,53.38788,-108.95938,49,12,20,1914,1943,North Star Grain Co Ltd,Canadian National Rys,70000,cgn_direct
Peterson,SASKATCHEWAN,52.19035,-105.69353,49,13,18,1916,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Smiley,SASKATCHEWAN,51.63417,-109.47048,49,20,19,1913,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Benalto,ALBERTA,52.30778,-114.27833,49,7,15,1919,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,42000,cgn_direct
Lanfine,ALBERTA,51.38111,-110.68917,49,12,17,1916,1943,National Elevator Co Ltd,Canadian National Rys,52500,cgn_direct
Lac Vert,SASKATCHEWAN,52.50001,-104.48384,49,9,12,1923,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Ranfurly,ALBERTA,53.40722,-111.67972,49,10,16,1915,1943,United Grain Growers Ltd,Canadian National Rys,73000,cgn_direct
Neidpath,SASKATCHEWAN,50.22431,-107.24658,49,8,11,1924,1943,Pioneer Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Gouverneur,SASKATCHEWAN,49.7605,-107.62413,49,13,14,1914,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Stony Plain,ALBERTA,53.52639,-114.00694,49,11,10,1925,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,75000,cgn_direct
Strasbourg,SASKATCHEWAN,51.07028,-104.9555,49,10,8,1927,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,64000,cgn_direct
Willingdon,ALBERTA,53.82861,-112.11806,49,11,8,1927,1943,United Grain Growers Ltd,Canadian Pacific,41000,cgn_direct
Harding,MANITOBA,49.99028,-100.5325,48,11,23,1911,1943,Western Canada Flour Mills Co Ltd,Canadian Pacific,30000,cgn_direct
Tilston,MANITOBA,49.39361,-101.31278,48,7,19,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Burdette,ALBERTA,49.83222,-111.52194,48,14,15,1911,1926,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,agent_high
Barnwell,ALBERTA,49.76056,-112.26333,48,6,22,1912,1943,United Grain Growers Ltd,Canadian Pacific,50000,cgn_direct
Rosalind,ALBERTA,52.78972,-112.44389,48,12,17,1915,1943,United Grain Growers Ltd,Canadian National Rys,65000,cgn_direct
Rowley,ALBERTA,51.76222,-112.78833,48,10,18,1915,1943,Home Grain Co Ltd,Canadian National Rys,77800,cgn_direct
Kyle,SASKATCHEWAN,50.83059,-108.03886,48,10,12,1923,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Neilburg,SASKATCHEWAN,52.8394,-109.62763,48,7,11,1924,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Hairy Hill,ALBERTA,53.76333,-111.97861,48,10,7,1928,1943,United Grain Growers Ltd,Canadian Pacific,41000,cgn_direct
Boharm,SASKATCHEWAN,50.39684,-105.71798,47,12,23,1911,1943,Canadian Elevator Co Ltd,Canadian Pacific,60000,cgn_direct
Broadview,SASKATCHEWAN,50.37497,-102.57726,47,9,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,30000,cgn_direct
Kennedy,SASKATCHEWAN,50.01072,-102.35079,47,10,23,1911,1943,Northern Elevator Co Ltd,Canadian Pacific,45000,cgn_direct
Red Deer,ALBERTA,52.26861,-113.81028,47,22,22,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,75000,cgn_direct
Margo,SASKATCHEWAN,51.82547,-103.3361,47,9,22,1911,1943,Pioneer Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Tiny,SASKATCHEWAN,51.67099,-102.59728,47,9,22,1911,1943,N Bawlf Grain Co Ltd,Canadian National Rys,45000,cgn_direct
Verigin,SASKATCHEWAN,51.58332,-102.0838,47,22,10,1911,1943,Doukhobor Society,Canadian National Rys,80000,cgn_direct
Atwater,SASKATCHEWAN,50.77581,-102.22691,47,9,23,1911,1943,Security Elevator Co Ltd,Canadian National Rys,32000,cgn_direct
Hubbard,SASKATCHEWAN,51.12841,-103.37271,47,10,23,1911,1943,Northern Elevator Co Ltd,Canadian National Rys,31000,cgn_direct
Juniata,SASKATCHEWAN,52.08338,-107.33398,47,13,22,1911,1943,Security Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Bradwardine,MANITOBA,49.99556,-100.46361,47,15,19,1912,1943,Northern Elevator Co Ltd,Canadian Pacific,40000,cgn_direct
Fiske,SASKATCHEWAN,51.48653,-108.40407,47,14,22,1912,1943,Pioneer Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Bateman,SASKATCHEWAN,50.0099,-106.74986,47,13,14,1920,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Mervin,SASKATCHEWAN,53.33346,-108.87401,47,13,19,1914,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,55000,cgn_direct
Wilson,ALBERTA,49.60056,-112.64806,47,9,20,1914,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,104000,cgn_direct
Hilliard,ALBERTA,53.64,-112.48194,47,10,16,1917,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,66000,cgn_direct
Grainger,ALBERTA,51.49167,-113.3325,47,10,19,1914,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Shouldice,ALBERTA,50.71667,-112.97389,47,9,10,1925,1943,United Grain Growers Ltd,Canadian Pacific,61000,cgn_direct
Lake Lenore,SASKATCHEWAN,52.39586,-104.98533,47,9,8,1927,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,59000,cgn_direct
Fairview,ALBERTA,56.06722,-118.38417,47,12,7,1928,1943,Midland & Pacific Grain Corp Ltd,Canadian Northern Alberta Ry Co,81000,cgn_direct
Sutherland,SASKATCHEWAN,52.13893,-106.60339,46,8,22,1911,1943,Western Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Silton,SASKATCHEWAN,50.80647,-104.91098,46,9,22,1911,1943,Western Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Brooks,ALBERTA,50.56722,-111.895,46,11,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,82000,cgn_direct
Brunkild,MANITOBA,49.59278,-97.57444,46,10,18,1911,1943,United Grain Growers Ltd,Canadian National Rys,40000,cgn_direct
Hilton,MANITOBA,49.50611,-99.525,46,7,23,1911,1943,United Grain Growers Ltd,Canadian National Rys,32000,cgn_direct
Isabella,MANITOBA,50.26694,-100.87333,46,6,23,1911,1943,United Grain Growers Ltd,Canadian National Rys,30000,cgn_direct
Kelwood,MANITOBA,50.62472,-99.46167,46,7,22,1911,1943,United Grain Growers Ltd,Canadian National Rys,35000,cgn_direct
Lavinia,MANITOBA,50.27444,-100.66806,46,6,23,1911,1943,United Grain Growers Ltd,Canadian National Rys,30000,cgn_direct
Davin,SASKATCHEWAN,50.38261,-104.10997,46,8,23,1911,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Scott,SASKATCHEWAN,52.36558,-108.82786,46,16,22,1911,1943,Security Elevator Co Ltd,Grand Trunk Pacific Ry Co,30000,cgn_direct
Hitchcock,SASKATCHEWAN,49.22781,-103.12214,46,6,22,1912,1943,Western Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Sidewood,SASKATCHEWAN,50.05003,-108.90072,46,8,20,1914,1943,North Star Grain Co Ltd,Canadian Pacific,40000,cgn_direct
Mitchellton,SASKATCHEWAN,49.93336,-105.70057,46,12,17,1916,1943,North Star Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Tonkin,SASKATCHEWAN,51.21031,-102.26376,46,10,19,1915,1943,N Bawlf Grain Co Ltd,Canadian National Rys,55000,cgn_direct
Orion,ALBERTA,49.45333,-110.81056,46,8,17,1916,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Tudor,ALBERTA,51.17611,-113.14611,46,10,19,1914,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,73000,cgn_direct
Benton,ALBERTA,51.34778,-110.34861,46,13,20,1913,1943,Pioneer Grain Co Ltd,Canadian National Rys,41000,agent_high
Picardville,ALBERTA,54.05139,-113.88083,46,9,17,1917,1943,Gillespie Grain Co Ltd,Canadian Northern Alberta Ry Co,41000,agent_high
St. Boswell's,SASKATCHEWAN,50.04457,-106.83969,46,11,10,1925,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Queenstown,ALBERTA,50.63944,-112.93944,46,11,10,1925,1943,United Grain Growers Ltd,Canadian Pacific,55000,cgn_direct
Waskateneau,ALBERTA,54.09389,-112.78417,46,12,10,1925,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,41000,agent_high
Arnaud,MANITOBA,49.25028,-97.10389,45,9,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
McAuley,MANITOBA,50.26222,-101.38861,45,6,20,1911,1943,United Grain Growers Ltd,Canadian Pacific,32000,cgn_direct
Red Jacket,MANITOBA,50.20653,-101.79276,45,13,23,1911,1943,Maple Leaf Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Richardson,SASKATCHEWAN,50.38337,-104.45054,45,7,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Cromer,MANITOBA,49.73139,-101.235,45,7,22,1911,1943,United Grain Growers Ltd,Canadian National Rys,50000,cgn_direct
Parry,SASKATCHEWAN,49.78849,-104.72065,45,11,23,1911,1943,Reliance Grain Co Ltd,Canadian National Rys,40000,cgn_direct
Spy Hill,MANITOBA,50.60326,-101.68608,45,13,22,1911,1943,Saskatchewan Pool Elevators Ltd,Grand Trunk Pacific Ry Co,30000,cgn_direct
Brooking,SASKATCHEWAN,49.50003,-104.41721,45,10,21,1912,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,32000,cgn_direct
Ravenscrag,SASKATCHEWAN,49.49311,-109.09561,45,7,17,1916,1943,State Elevator Co Ltd,Canadian Pacific,32000,cgn_direct
Demaine,SASKATCHEWAN,50.89253,-107.25527,45,11,13,1921,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,37000,cgn_direct
Moseley,SASKATCHEWAN,52.29651,-105.04056,45,8,13,1920,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Ruthilda,SASKATCHEWAN,51.89258,-108.46718,45,7,19,1914,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Wrentham,ALBERTA,49.51444,-112.17278,45,9,18,1916,1943,N Bawlf Grain Co Ltd,Canadian Pacific,73000,cgn_direct
Warspite,ALBERTA,54.09111,-112.61444,45,9,14,1920,1943,Home Grain Co Ltd,Canadian National Rys,60000,cgn_direct
Codette,SASKATCHEWAN,53.27973,-104.0266,45,11,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Schuler,ALBERTA,50.33139,-110.1075,45,8,11,1924,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,73000,cgn_direct
Beechy,SASKATCHEWAN,50.87933,-107.38386,45,12,10,1925,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,55000,cgn_direct
Beaver Lodge,ALBERTA,55.20917,-119.42889,45,11,7,1928,1943,United Grain Growers Ltd,Canadian Northern Alberta Ry Co,81000,cgn_direct
Clearwater,MANITOBA,49.13361,-99.03528,44,12,21,1911,1943,Maple Leaf Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Crandall,MANITOBA,50.15,-100.78444,44,11,21,1911,1943,Maple Leaf Milling Co Ltd,Canadian Pacific,35000,cgn_direct
Lyleton,MANITOBA,49.05778,-101.17778,44,8,20,1911,1943,N M Paterson & Co Ltd,Canadian Pacific,47200,cgn_direct
Whitewater,MANITOBA,49.20722,-100.28389,44,11,21,1911,1943,North West Commission Co Ltd,Canadian Pacific,30000,cgn_direct
Amulet,SASKATCHEWAN,49.6167,-104.75055,44,13,21,1911,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Cheviot,SASKATCHEWAN,52.03024,-106.36887,44,10,23,1911,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,40000,cgn_direct
Insinger,SASKATCHEWAN,51.53333,-103.08382,44,10,22,1911,1943,N Bawlf Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Khedive,SASKATCHEWAN,49.6167,-104.51721,44,12,23,1911,1943,Federal Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Cowley,ALBERTA,49.57111,-114.075,44,15,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,80000,cgn_direct
Endcliffe,MANITOBA,50.86861,-101.36417,44,6,21,1911,1943,United Grain Growers Ltd,Canadian Northern Ry Co,50000,cgn_direct
Oakland,MANITOBA,50.1075,-98.31889,44,7,23,1911,1943,A Forsythe & Co,Canadian National Rys,40000,cgn_direct
Sandy Lake,MANITOBA,50.52722,-100.17833,44,11,23,1911,1943,Northern Elevator Co Ltd,Canadian National Rys,40000,cgn_direct
Kipling,SASKATCHEWAN,50.0981,-102.63199,44,10,23,1911,1943,N M Paterson & Co Ltd,Canadian National Rys,45000,cgn_direct
St. Albert,ALBERTA,53.63694,-113.62028,44,10,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,50000,cgn_direct
Lorlie,SASKATCHEWAN,50.84054,-103.2872,44,10,22,1911,1943,Security Elevator Co Ltd,Canadian National Rys,45000,cgn_direct
Carroll,MANITOBA,49.6075,-100.03194,44,12,22,1912,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,50000,cgn_direct
Amazon,SASKATCHEWAN,51.55004,-105.45059,44,10,21,1912,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Dunkirk,SASKATCHEWAN,50.03485,-105.71444,44,7,22,1912,1943,Reliance Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Meota,SASKATCHEWAN,53.03358,-108.45821,44,9,21,1912,1943,North Star Grain Co Ltd,Canadian National Rys,70000,cgn_direct
Druid,SASKATCHEWAN,51.79872,-108.80436,44,7,21,1913,1943,North Star Grain Co Ltd,Canadian Pacific,47000,cgn_direct
Debden,SASKATCHEWAN,53.52723,-106.87974,44,8,17,1916,1943,Searle Grain Co Ltd,Canadian National Rys,40000,cgn_direct
Eatonia,SASKATCHEWAN,51.2229,-109.38807,44,11,13,1921,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Ettington,SASKATCHEWAN,49.86811,-106.08637,44,14,21,1913,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,31000,cgn_direct
Tallman,SASKATCHEWAN,52.80144,-106.97196,44,7,18,1915,1943,National Elevator Co Ltd,Canadian National Rys,64000,cgn_direct
Turin,ALBERTA,49.96528,-112.52639,44,11,10,1925,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,73000,cgn_direct
Holmfield,MANITOBA,49.13556,-99.48556,43,10,23,1911,1943,United Grain Growers Ltd,Canadian Pacific,32000,cgn_direct
Kaleida,MANITOBA,49.12889,-98.46778,43,7,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Marchwell,MANITOBA,50.8,-101.5838,43,8,23,1911,1943,N Bawlf Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Maryfield,MANITOBA,49.83498,-101.52585,43,14,21,1911,1941,Saskatchewan Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Ashville,MANITOBA,51.175,-100.29583,43,8,22,1911,1943,United Grain Growers Ltd,Canadian National Rys,30000,cgn_direct
McConnell,MANITOBA,50.26833,-100.52861,43,12,23,1911,1943,N Bawlf Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Keystown,SASKATCHEWAN,50.46976,-105.04732,43,10,22,1912,1943,Security Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Consul,SASKATCHEWAN,49.29439,-109.52026,43,10,18,1915,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Fortune,SASKATCHEWAN,51.55546,-107.87884,43,10,21,1913,1943,Saskatchewan Co-operative Elevator Co Ltd,Canadian Pacific,40000,cgn_direct
Fusilier,SASKATCHEWAN,51.84725,-109.7675,43,6,17,1917,1943,Saskatchewan Elevator Co Ltd,Canadian Pacific,30000,cgn_direct
Maxim,SASKATCHEWAN,49.31435,-103.97497,43,9,21,1913,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,30000,cgn_direct
Rutland,SASKATCHEWAN,52.51674,-109.53408,43,5,18,1916,1943,United Grain Growers Ltd,Canadian Pacific,35000,cgn_direct
Macrorie,SASKATCHEWAN,51.32538,-107.08758,43,10,17,1915,1943,Saskatchewan Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Driver,SASKATCHEWAN,51.67779,-109.3766,43,11,20,1914,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,38000,cgn_direct
Viewfield,SASKATCHEWAN,49.50655,-103.14201,43,11,19,1913,1943,Western Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Fincastle,ALBERTA,49.80833,-112.00167,43,14,18,1914,1943,United Grain Growers Ltd,Canadian Pacific,50000,cgn_direct
Mazeppa,ALBERTA,50.63917,-113.73694,43,12,18,1913,1943,N Bawlf Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Blackfoot,ALBERTA,53.28917,-110.17333,43,12,20,1913,1943,United Grain Growers Ltd,Canadian National Rys,65000,cgn_direct
Excel,ALBERTA,51.38722,-110.57444,43,9,20,1914,1943,Home Grain Co Ltd,Canadian National Rys,50000,cgn_direct
Heath,ALBERTA,52.8,-110.59472,43,11,17,1916,1943,N Bawlf Grain Co Ltd,Canadian National Rys,66000,cgn_direct
Inglis,MANITOBA,50.94472,-101.25111,43,9,12,1923,1943,N M Paterson & Co Ltd,Canadian Pacific,50000,cgn_direct
Bracken,SASKATCHEWAN,49.17925,-108.09285,43,10,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,50000,cgn_direct
Kelstern,SASKATCHEWAN,50.15003,-106.80063,43,10,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Culross,MANITOBA,49.71417,-97.91111,42,8,22,1911,1943,N M Paterson & Co Ltd,Canadian Pacific,85000,cgn_direct
Belle Plaine,SASKATCHEWAN,50.39314,-105.15667,42,11,16,1911,1930,Ogilvie Flour Mills Co Ltd,Canadian Pacific,37000,cgn_direct
Griffin,SASKATCHEWAN,49.66669,-103.43385,42,10,22,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,35000,cgn_direct
Airdrie,ALBERTA,51.29222,-114.01417,42,10,22,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,114000,cgn_direct
Seven Persons,ALBERTA,49.87417,-110.90583,42,12,23,1911,1943,Midland Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Indi,SASKATCHEWAN,51.73348,-106.51899,42,11,22,1911,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Tofield,ALBERTA,53.37083,-112.66583,42,10,21,1911,1943,Gillespie Grain Co Ltd,Canadian National Rys,74000,cgn_direct
Cameron,MANITOBA,49.08083,-101.07694,42,7,21,1912,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,50000,cgn_direct
Carey,MANITOBA,49.44278,-97.05083,42,11,22,1912,1943,Western Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Pipestone,MANITOBA,49.55778,-100.94556,42,6,19,1912,1943,United Grain Growers Ltd,Canadian Pacific,40000,cgn_direct
Beverley,SASKATCHEWAN,50.2667,-107.96735,42,13,18,1912,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Plumas,MANITOBA,50.38472,-99.08639,42,8,20,1912,1943,United Grain Growers Ltd,Canadian National Rys,32000,cgn_direct
Condie,SASKATCHEWAN,50.55005,-104.7339,42,13,22,1912,1943,Canadian Elevator Co Ltd,Canadian Northern Ry Co,50000,cgn_direct
Bowsman,MANITOBA,52.23583,-101.20722,42,6,15,1917,1943,United Grain Growers Ltd,Canadian National Rys,55000,cgn_direct
Landscape,SASKATCHEWAN,49.48333,-105.5,42,7,21,1913,1943,North Star Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Birsay,SASKATCHEWAN,51.10003,-106.98397,42,9,14,1920,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Lintlaw,SASKATCHEWAN,52.06704,-103.24645,42,10,14,1920,1943,N Bawlf Grain Co Ltd,Canadian National Rys,50000,cgn_direct
Argo,SASKATCHEWAN,52.01672,-108.10068,42,11,20,1914,1943,Scottish Co-operative Wholesale Society Ltd,Canadian National Rys,30000,cgn_direct
Cando,SASKATCHEWAN,52.37409,-108.21305,42,8,20,1914,1943,Security Elevator Co Ltd,Canadian National Rys,32000,cgn_direct
Huntoon,SASKATCHEWAN,49.55003,-103.23383,42,8,20,1913,1943,Security Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Steelman,SASKATCHEWAN,49.2925,-102.59222,42,12,20,1913,1943,Standard Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Athabasca,ALBERTA,54.71667,-113.28417,42,7,15,1918,1943,United Grain Growers Ltd,Canadian National Rys,42000,cgn_direct
Big Valley,ALBERTA,52.03278,-112.75194,42,9,19,1914,1943,Parrish & Heimbecker Ltd,Canadian National Rys,66800,cgn_direct
Canuck,SASKATCHEWAN,49.20351,-108.22181,42,7,11,1924,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,50000,cgn_direct
Falher,ALBERTA,55.73722,-117.20139,42,8,10,1925,1943,United Grain Growers Ltd,Canadian Northern Alberta Ry Co,60000,cgn_direct
Brownvale,ALBERTA,56.12833,-117.8925,42,9,9,1926,1943,Midland & Pacific Grain Corp Ltd,Canadian Northern Alberta Ry Co,41000,cgn_direct
Burdett,ALBERTA,49.83222,-111.52194,42,9,8,1927,1943,United Grain Growers Ltd,Canadian Pacific,53000,cgn_direct
Andrew,ALBERTA,53.87833,-112.33528,42,12,6,1929,1943,United Grain Growers Ltd,Canadian Pacific,41000,cgn_direct
St. Claude,MANITOBA,49.65861,-98.34167,41,6,21,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,36000,cgn_direct
Cory,SASKATCHEWAN,52.122,-106.82922,41,13,22,1911,1943,State Elevator Co Ltd,Canadian Pacific,30000,cgn_direct
Ibsen,SASKATCHEWAN,49.85245,-104.24444,41,6,17,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Pasqua,SASKATCHEWAN,50.3735,-105.38508,41,10,23,1911,1943,Western Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Ethelbert,MANITOBA,51.52917,-100.39333,41,9,21,1911,1943,British America Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Ridgeville,MANITOBA,49.06583,-97.01194,41,7,23,1911,1943,N M Paterson & Co Ltd,Canadian National Rys,35000,cgn_direct
Shellmouth,MANITOBA,50.93472,-101.47917,41,9,23,1911,1943,British America Elevator Co Ltd,Canadian National Rys,37000,cgn_direct
Ridpath,SASKATCHEWAN,51.51494,-108.11323,41,11,23,1911,1943,Pioneer Grain Co Ltd,Canadian National Rys,55000,cgn_direct
Morinville,ALBERTA,53.80278,-113.64389,41,10,18,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,100000,cgn_direct
Ryley,ALBERTA,53.29083,-112.42972,41,8,21,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,73000,cgn_direct
Blumenhoff,SASKATCHEWAN,50.0167,-107.70067,41,12,12,1912,1924,Central Grain Co Ltd,Canadian Pacific,60000,agent_high
Tregarva,SASKATCHEWAN,50.60503,-104.71497,41,14,21,1912,1943,Saskatchewan Co-operative Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
McGee,SASKATCHEWAN,51.50146,-108.24848,41,13,22,1912,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,50000,cgn_direct
Spalding,SASKATCHEWAN,52.3291,-104.49572,41,7,13,1921,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Coppen,SASKATCHEWAN,49.95003,-106.63395,41,10,14,1920,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,40000,cgn_direct
Mennon,SASKATCHEWAN,52.43481,-106.78383,41,10,19,1914,1943,Quaker Oats Co,Canadian National Rys,35000,cgn_direct
Benson,SASKATCHEWAN,49.45847,-103.00335,41,8,20,1913,1943,Standard Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Federal,ALBERTA,52.11167,-111.57194,41,8,21,1913,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Vilna,ALBERTA,54.11667,-111.92083,41,11,11,1921,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,50000,cgn_direct
Rock Glen,SASKATCHEWAN,49.18122,-105.95117,41,7,9,1926,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Two Hills,ALBERTA,53.71111,-111.74472,41,9,7,1928,1943,United Grain Growers Ltd,Canadian Pacific,80000,cgn_direct
Hargrave,MANITOBA,49.91722,-101.07194,40,10,22,1911,1943,United Grain Growers Ltd,Canadian Pacific,40000,cgn_direct
Nesbitt,MANITOBA,49.60139,-99.86278,40,8,17,1911,1943,United Grain Growers Ltd,Canadian Pacific,40000,cgn_direct
Wawota,SASKATCHEWAN,49.90654,-102.02622,40,11,23,1911,1943,Saskatchewan Co-operative Elevator Co Ltd,Canadian Pacific,40000,cgn_direct
Irricana,ALBERTA,51.32361,-113.60806,40,11,20,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Baldur,MANITOBA,49.38528,-99.24389,40,13,17,1911,1943,Manitoba Pool Elevators Ltd,Canadian Northern Ry Co,40000,cgn_direct
