station,province,lat,lon,coord_source,year,n_elevators,total_capacity_bushels
$St. Boniface,MANITOBA,49.875,-97.07972,cgn_direct,1912,6,1540000
* Brunkild,MANITOBA,49.59278,-97.57444,cgn_direct,1916,1,0
*Calgary,ALBERTA,51.04583,-114.0575,cgn_direct,1916,1,2500000
"*Edmonton..... (See pages 132, 151, 171 and 172)",ALBERTA,53.53444,-113.49028,cgn_direct,1943,1,30000
*Moose Jaw,ALBERTA,,,,1916,1,3500000
*Moose Jaw,BRITISH COLUMBIA,,,,1914,1,3500000
*Not Licensed,MANITOBA,,,,1911,1,23500
*Saskatoon,ALBERTA,,,,1916,1,3500000
*Saskatoon,BRITISH COLUMBIA,,,,1914,1,3500000
*St. Boniface,MANITOBA,49.875,-97.07972,cgn_direct,1913,1,0
-Froude,SASKATCHEWAN,49.67301,-103.28091,cgn_direct,1941,3,75000
1st Siding South of Melfort,SASKATCHEWAN,,,,1912,1,30000
1st Siding South of Melfort,SASKATCHEWAN,,,,1913,1,30000
1st Siding West of Tessier,SASKATCHEWAN,,,,1912,1,30000
2nd Siding South of Melfort,SASKATCHEWAN,,,,1912,1,30000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1913,3,90000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1914,3,90000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1915,4,120000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1916,6,190000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1917,6,190000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1918,6,190000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1919,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1920,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1921,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1923,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1924,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1925,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1926,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1927,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1928,5,160000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1929,5,158000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1930,6,197000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1939,5,168000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1940,5,168000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1941,10,340000
Abbey,SASKATCHEWAN,50.73664,-108.75758,cgn_direct,1943,5,170000
Abbott,SASKATCHEWAN,49.58337,-104.40054,cgn_direct,1929,1,35000
Abbott,SASKATCHEWAN,49.58337,-104.40054,cgn_direct,1930,1,35000
Abbott,SASKATCHEWAN,49.58337,-104.40054,cgn_direct,1939,1,35000
Abbott,SASKATCHEWAN,49.58337,-104.40054,cgn_direct,1940,1,35000
Abbott,SASKATCHEWAN,49.58337,-104.40054,cgn_direct,1941,2,70000
Abbott,SASKATCHEWAN,49.58337,-104.40054,cgn_direct,1943,1,35000
Abee,ALBERTA,54.23778,-113.02778,cgn_direct,1930,1,7000
Abee,ALBERTA,54.23778,-113.02778,cgn_direct,1939,1,30000
Abee,ALBERTA,54.23778,-113.02778,cgn_direct,1940,1,30000
Abee,ALBERTA,54.23778,-113.02778,cgn_direct,1941,2,60000
Abee,ALBERTA,54.23778,-113.02778,cgn_direct,1943,1,30000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1911,4,100000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1912,5,130000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1913,5,135000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1914,5,125000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1915,5,125000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1917,5,156000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1918,5,161000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1919,5,161000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1920,5,161000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1921,5,161000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1923,6,196000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1924,6,196000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1925,6,211000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1926,6,211000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1927,6,195000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1928,6,190000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1929,6,205000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1930,6,200000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1939,6,201000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1940,6,202000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1941,12,404000
Aberdeen,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1943,6,202000
Aberdeen.....✓,SASKATCHEWAN,52.32554,-106.29151,cgn_direct,1916,5,145000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1923,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1924,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1925,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1926,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1927,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1928,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1929,1,30000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1930,1,35000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1939,2,57500
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1940,2,57000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1941,4,114000
Aberfeldy,SASKATCHEWAN,53.25008,-109.88411,cgn_direct,1943,2,57000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1911,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1912,5,143000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1913,5,138000
