station,province,lat,lon,coord_source,year,n_elevators,total_capacity_bushels
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1914,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1915,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1916,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1917,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1918,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1919,5,148000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1920,5,143000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1921,5,143000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1923,5,143000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1924,5,143000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1925,5,143000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1926,5,153000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1927,5,158000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1928,5,158000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1929,5,158000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1930,5,160000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1939,5,139000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1940,5,130000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1941,10,264000
Abernethy,SASKATCHEWAN,50.74453,-103.41816,cgn_direct,1943,5,132000
Academy,ALBERTA,50.85667,-114.04028,cgn_direct,1939,1,20000
Academy,ALBERTA,50.85667,-114.04028,cgn_direct,1940,1,20000
Academy,ALBERTA,50.85667,-114.04028,cgn_direct,1941,2,40000
Academy,ALBERTA,50.85667,-114.04028,cgn_direct,1943,1,20000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1926,1,35000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1927,1,35000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1928,2,75000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1929,2,75000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1930,2,75000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1939,2,76000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1940,2,140000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1941,4,152000
Acadia Valley,ALBERTA,51.15694,-110.20972,cgn_direct,1943,2,76000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1923,1,30000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1924,1,30000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1925,1,30000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1926,1,30000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1927,1,30000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1928,2,60000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1929,2,60000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1930,2,60000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1939,2,59000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1940,2,91000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1941,4,118000
Acheson,ALBERTA,53.55028,-113.77472,cgn_direct,1943,2,61000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1911,2,45000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1912,2,45000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1913,3,80000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1914,3,80000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1915,3,80000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1916,4,113000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1918,4,169000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1919,4,169000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1920,4,167000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1921,4,167000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1923,4,167000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1924,4,167000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1925,4,167000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1926,4,175000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1927,5,192000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1929,5,192000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1930,5,182000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1939,5,181000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1940,5,213000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1941,10,372000
Acme,ALBERTA,51.49722,-113.50861,cgn_direct,1943,5,186000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1911,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1912,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1913,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1914,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1915,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1916,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1917,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1918,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1919,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1920,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1921,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1923,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1924,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1925,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1926,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1927,1,25000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1928,2,60000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1929,2,60000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1930,2,55000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1939,2,58000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1940,2,63000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1941,4,126000
Adair,SASKATCHEWAN,50.331,-103.169,lynch_map_interp,1943,2,63000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1914,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1915,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1916,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1917,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1918,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1919,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1920,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1921,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1923,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1924,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1925,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1926,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1927,1,30000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1928,2,65000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1929,2,65000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1930,2,60000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1939,2,60000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1940,2,59000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1941,4,118000
Adams,SASKATCHEWAN,50.46671,-104.86722,cgn_direct,1943,2,59000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1911,4,105000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1912,4,110000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1913,4,100000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1914,4,100000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1915,4,100000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1916,4,100000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1917,4,100000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1918,4,95904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1919,4,95904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1920,4,95904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1921,4,95904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1923,3,80904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1924,3,80904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1925,3,80904
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1926,3,81000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1927,4,111000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1928,4,113000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1929,4,128000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1930,4,13000
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1939,4,147900
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1940,4,141900
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1941,8,279800
Adanac,SASKATCHEWAN,52.45285,-109.05628,cgn_direct,1943,4,139900
Adine,SASKATCHEWAN,,,,1924,1,30000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1914,2,58000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1915,3,88000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1916,4,118000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1917,5,148000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1918,4,118500
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1919,4,118000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1920,4,118000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1921,4,118000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1923,5,153000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1924,5,153000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1925,5,153000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1926,5,168000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1927,5,165000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1928,6,190000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1929,5,165000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1930,5,159000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1939,4,114000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1940,4,116000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1941,8,246000
Admiral,SASKATCHEWAN,49.71669,-108.01735,cgn_direct,1943,4,123000
Agnew,MANITOBA,,,,1928,1,32000
Agnew,MANITOBA,,,,1929,1,32000
Agnew,MANITOBA,,,,1930,1,32000
Agnew,MANITOBA,,,,1939,1,30000
Agnew,MANITOBA,,,,1940,1,30000
Agnew,MANITOBA,,,,1941,2,60000
Agnew,MANITOBA,,,,1943,1,30000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1912,1,25000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1913,1,25000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1914,1,25000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1915,1,25000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1916,2,55000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1918,2,55000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1919,2,50000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1920,1,25000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1921,1,25000
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1923,1,20500
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1924,1,20500
Aikens,SASKATCHEWAN,51.49,-106.156,dls_converted,1925,1,25000
Aikins,SASKATCHEWAN,50.33337,-107.70067,cgn_direct,1911,1,25000
Aikins,SASKATCHEWAN,50.33337,-107.70067,cgn_direct,1917,2,55000
Aikins,SASKATCHEWAN,50.33337,-107.70067,cgn_direct,1927,1,25000
Aikins,SASKATCHEWAN,50.33337,-107.70067,cgn_direct,1929,1,25000
Aikins,SASKATCHEWAN,50.33337,-107.70067,cgn_direct,1930,1,25000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1911,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1912,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1913,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1914,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1915,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1916,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1917,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1918,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1919,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1920,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1921,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1923,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1924,1,28000
Aiktow,SASKATCHEWAN,51.03011,-106.50887,lynch_map_interp,1925,1,28000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1911,2,60000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1912,2,60000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1913,2,60000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1914,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1915,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1916,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1917,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1918,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1919,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1920,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1921,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1923,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1924,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1925,1,30000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1926,2,70000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1927,2,70000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1929,3,110500
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1930,3,108000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1939,3,145000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1940,3,177000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1941,6,290000
Airdrie,ALBERTA,51.29222,-114.01417,cgn_direct,1943,3,145000
Airedale,SASKATCHEWAN,,,,1924,1,30000
Ajkins,SASKATCHEWAN,50.33337,-107.70067,agent_medium,1926,1,25000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1911,5,154000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1912,5,154000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1913,5,155000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1914,4,130000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1915,4,130000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1916,4,135000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1917,3,90000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1918,3,110000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1919,3,110000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1920,3,135000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1921,3,135000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1923,3,95000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1924,3,90000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1925,3,90000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1926,3,90000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1927,4,120000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1928,4,125000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1929,4,140000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1930,4,132000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1939,4,127000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1940,4,122000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1941,8,260000
Alameda,SASKATCHEWAN,49.26815,-102.28706,cgn_direct,1943,4,100000
Alaska,SASKATCHEWAN,,,,1914,2,58000
Albertville,SASKATCHEWAN,53.39445,-105.53826,cgn_direct,1939,1,29000
Albertville,SASKATCHEWAN,53.39445,-105.53826,cgn_direct,1940,1,30000
Albertville,SASKATCHEWAN,53.39445,-105.53826,cgn_direct,1941,2,60000
Albertville,SASKATCHEWAN,53.39445,-105.53826,cgn_direct,1943,1,30000
Albright,ALBERTA,55.26583,-119.49722,cgn_direct,1929,1,30000
Albright,ALBERTA,55.26583,-119.49722,cgn_direct,1930,1,30000
Albright,ALBERTA,55.26583,-119.49722,cgn_direct,1939,1,30000
Albright,ALBERTA,55.26583,-119.49722,cgn_direct,1940,1,30000
Albright,ALBERTA,55.26583,-119.49722,cgn_direct,1941,2,60000
Albright,ALBERTA,55.26583,-119.49722,cgn_direct,1943,1,30000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1911,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1912,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1914,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1915,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1916,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1917,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1918,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1919,1,25000
Alcester,MANITOBA,49.383,-99.8062,vantagepoints_dls,1920,1,25000
