station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
"Calgary..... (See pages 127, 168, 169 and 172)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1495000,,,,,,
"Calgary..... (See pages 127, 168, 170 and 172)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1675000,,,,,,
"Calgary..... (See pages 127, 169, 170 and 172)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120000,,,,,,
"Calgary..... (See pages 128, 169, 170 and 171)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2500000
"Calgary..... (See pages 128, 169, 170 and 172)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1245000
"Calgary..... (See pages 128, 169, 171 and 172)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1675000
"Calgary..... (See pages 128, 170, 171 and 172)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120000
"Calgary..... (See pages 131, 173, 174 and 175)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5000000,,
"Calgary..... (See pages 131, 173, 174 and 177)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2490000,,
"Calgary..... (See pages 131, 173, 175 and 177)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3350000,,
"Calgary..... (See pages 131, 174, 175 and 177)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,240000,,
"Calgary..... (See pages 133, 174, 175 and 178)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1495000,,,,
"Calgary..... (See pages 133, 174, 175, 176)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2500000,,,,
"Calgary..... (See pages 133, 174, 176 and 178)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,575000,,,,
"Calgary..... (See pages 133, 175, 176 and 178)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120000,,,,
"Calgary..... (See pages 173, 174, 175 and 177)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20000,,
"Calgary..... (See pages 174, 175, 176, 178)",ALBERTA,51.04583,-114.0575,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20000,,,,
Calmar,ALBERTA,53.25778,-113.81083,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,160000,4,160000,8,320000,4,160000
Calthorpe,ALBERTA,51.65861,-110.1475,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40000,1,40000,1,40000,,,,,,,,
Calverley,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,97000,,,,,,,,
Cameo,SASKATCHEWAN,53.24582,-106.53968,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,35000,1,35000,2,70000,1,35000
Cameron,MANITOBA,49.08083,-101.07694,cgn_direct,,,2,80000,2,80000,2,80000,2,80000,2,80000,2,80000,2,80000,2,80000,2,80000,2,80000,2,80000,1,,2,80000,2,80000,2,80000,2,80000,,,2,75000,1,,2,72000,4,144000,2,72000
Campbellton,ALBERTA,,,,,,,,,,,,,,1,30000,,,2,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camper,MANITOBA,51.07083,-98.26,cgn_direct,,,,,,,,,,,,,1,15000,1,20000,1,20000,1,20000,1,20000,1,20000,1,20000,1,20000,1,20000,,,1,20000,1,20000,1,8000,,,,,,,,
Camrose,ALBERTA,53.02472,-112.82417,cgn_direct,3,115000,3,100000,3,100000,3,100000,3,100000,4,101000,3,71000,3,71000,3,95000,2,65000,2,65000,2,65000,2,65000,2,65000,2,72000,3,107000,,,3,110000,2,67000,2,64000,1,65000,1,34000,3,134000
Camrose,MANITOBA,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camrose..... (See page 131),ALBERTA,53.02472,-112.82417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,140000,,
Camrose..... (See page 153),ALBERTA,53.02472,-112.82417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64000,,
Camrose..... (See page 154),ALBERTA,53.02472,-112.82417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64000,,,,
Camrose..... (also C. P. R.),ALBERTA,53.02472,-112.82417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,,,,,,,
Camrose..... (also C.N.R.),ALBERTA,53.02472,-112.82417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,110000,,,,,,,,,,,,
Camrose..... (also C.P.R.),ALBERTA,53.02472,-112.82417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,,,,,
Cana,SASKATCHEWAN,50.88303,-102.64534,cgn_direct,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,55000,2,55000,2,55000,2,55000,3,90000,3,90000,3,82000,2,60000,2,65000,4,130000,2,65000
Candahar,SASKATCHEWAN,51.75801,-104.36183,agent_high,2,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candiac,SASKATCHEWAN,50.20906,-103.25758,cgn_direct,,,2,50000,2,50000,2,500,2,50000,1,,,,2,55000,2,55000,2,75000,2,75000,3,105000,3,125000,3,125000,3,125000,3,125000,3,125000,3,127000,3,122000,3,124000,3,73000,6,238000,3,119000
Cando,SASKATCHEWAN,52.37409,-108.21305,cgn_direct,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,57000,2,56000,2,62000,2,62000,3,76000,3,76000,6,160000,3,80000
Candon,SASKATCHEWAN,52.37409,-108.21305,agent_high,,,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canora,SASKATCHEWAN,51.63638,-102.43101,cgn_direct,1,30000,6,177000,6,177000,6,177000,6,177000,2,30000,6,180000,2,65000,7,208000,7,218000,7,208000,7,203000,7,203000,7,203000,7,203000,7,203000,6,176000,6,183000,5,145000,4,110000,4,103000,8,200000,4,100000
"Canora, South",SASKATCHEWAN,51.63638,-102.43101,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,2,60000,1,30000
Canora.....*,SASKATCHEWAN,51.63638,-102.43101,cgn_direct,,,,,,,,,,,,,,,5,143000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantaur,SASKATCHEWAN,50.37306,-108.00952,agent_medium,,,,,3,85000,3,85000,1,,2,50000,3,85000,3,91000,3,91000,3,91000,3,86000,2,66000,3,91000,,,,,,,,,,,,,,,,,,,,
Cantuar,SASKATCHEWAN,50.37306,-108.00952,cgn_direct,,,2,55000,,,,,,,,,,,,,,,,,,,,,,,3,91000,3,86000,3,85000,3,85000,3,86000,3,76000,3,55000,3,81000,8,214000,3,81000
Canuck,SASKATCHEWAN,49.20351,-108.22181,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,3,85000,3,85000,3,85000,3,85000,4,125000,4,136000,4,129000,4,139000,8,278000,4,139000
Canwood,SASKATCHEWAN,53.35934,-106.60342,cgn_direct,,,,,,,,,1,30000,1,30000,,,2,60000,2,60000,1,,2,60000,4,120000,4,180000,4,180000,4,180000,4,142000,4,122000,4,194500,4,188000,4,210000,4,210000,8,420000,4,210000
Capasin,SASKATCHEWAN,53.59883,-107.38184,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40000,1,40000,2,80000,1,40000
Carberry,MANITOBA,49.86889,-99.35944,cgn_direct,,,2,50000,2,50000,1,25000,1,25000,1,25000,1,25000,1,22000,1,22000,1,22000,1,22000,1,22000,1,22000,1,22000,1,22000,1,22000,,,,,1,22000,1,40000,1,38000,2,76000,1,38000
Carberry..... (also C.N.R.),MANITOBA,49.86889,-99.35944,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22000,2,52000,,,,,,,,,,
Carbon,ALBERTA,51.48583,-113.15056,cgn_direct,,,,,,,,,,,,,,,,,,,,,3,100000,3,100000,3,100000,3,100000,3,100000,3,98000,4,138000,4,138000,4,138000,4,137000,4,198800,8,326000,4,163000
Carbondale,ALBERTA,53.74639,-113.52694,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,1,30000,1,30000,2,60000,1,30000
Cardale,MANITOBA,50.23667,-100.32111,cgn_direct,1,30000,1,30000,1,30000,2,60000,2,65000,1,,1,,2,90000,2,90000,2,105000,2,105000,2,95000,2,95000,2,95000,2,95000,,,3,140000,3,140000,3,130500,3,125600,3,125600,6,211200,3,105000
Cardell,SASKATCHEWAN,49.92685,-109.3222,cgn_direct,,,,,1,30000,1,30000,1,30000,1,30000,2,60000,2,60000,2,60000,2,60000,2,46000,2,60000,2,60000,2,60000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
Cardinal,MANITOBA,49.49472,-98.555,cgn_direct,1,27000,1,26000,1,26000,2,70000,2,70000,1,30000,1,27000,1,27000,1,27000,1,27000,1,27000,1,27000,1,27000,1,27000,1,27000,,,1,27000,1,32000,1,32000,1,30000,1,30000,2,60000,1,30000
Cardross,SASKATCHEWAN,49.81384,-105.62006,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,2,60000,2,60000,2,60000,2,56000,2,56000,2,56000,4,120000,2,60000
Cardston,ALBERTA,49.2,-113.30389,cgn_direct,3,80000,3,50000,3,90000,3,90000,3,80000,4,110000,3,95000,3,95000,3,95000,3,95000,3,95000,4,130000,4,185000,4,185000,4,225000,4,185000,4,185000,5,225000,5,225000,5,225000,5,257000,10,450000,5,225000
Carey,MANITOBA,49.44278,-97.05083,cgn_direct,,,1,30000,1,30000,2,60000,2,60000,2,55000,2,55000,2,55000,2,55000,2,60000,2,55000,2,55000,1,,2,55000,2,55000,2,51000,2,51000,2,41000,2,51000,1,,2,53000,4,106000,2,53000
Carievale,MANITOBA,49.17567,-101.62701,cgn_direct,4,93000,4,93000,4,102000,4,93000,1,,4,93000,4,95000,4,90000,4,90000,4,90000,3,74000,3,71000,3,71000,3,67000,3,85000,3,85000,3,85000,3,90000,3,90000,3,90000,3,85000,6,170000,3,85000
Carlea,SASKATCHEWAN,53.14979,-103.90455,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,70000,2,70000,4,140000,2,70000
Carlsberg,SASKATCHEWAN,,,,,,1,25000,1,25000,1,25000,1,25000,1,25000,,,1,25000,1,25000,1,25000,1,25000,,,,,,,,,,,,,,,,,,,,,,,,
Carlsborg,SASKATCHEWAN,,,,,,,,,,,,,,,,1,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlstadt,ALBERTA,,,,,,2,60000,2,65000,2,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton,SASKATCHEWAN,52.81297,-106.48831,cgn_direct,,,,,,,,,2,60000,1,,2,60000,2,60000,2,60000,1,,2,60000,3,90000,3,90000,3,90000,3,90000,3,110000,4,140000,4,140000,4,134000,4,174000,4,149000,8,338000,4,169000
Carlyle,SASKATCHEWAN,49.63539,-102.26636,cgn_direct,4,112000,5,142000,4,120000,4,120000,2,30000,4,115000,5,136000,4,107000,4,107500,4,107500,4,107500,4,107500,3,82500,3,90500,3,82500,3,84500,3,86000,2,52000,2,47000,1,17000,3,64000,4,128000,2,64000
Carlyle..... (See page 47),SASKATCHEWAN,49.63539,-102.26636,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,
Carman,MANITOBA,49.49917,-98.00083,cgn_direct,2,62000,4,130200,3,101000,4,141000,4,141000,2,60000,4,112000,3,82000,3,82000,3,82000,3,82000,3,82000,3,82000,3,82000,3,82000,2,50000,1,32000,1,32000,,,2,30000,3,80000,4,130000,2,80000
Carman (also C.P.R.),MANITOBA,49.49917,-98.00083,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32000,,,,,,,,
Carman..... (See Page 27),MANITOBA,49.49917,-98.00083,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Carman..... (also C.N.R.),MANITOBA,49.49917,-98.00083,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100000,3,109000,3,95000,,,,,,,,
Carmangay,ALBERTA,50.12944,-113.11139,cgn_direct,3,100000,5,149000,6,203000,6,173000,6,193000,6,193000,7,260000,7,345000,7,330000,8,340000,7,310000,5,200000,5,200000,5,200000,5,200000,5,173000,5,201000,6,261000,6,257000,6,235000,6,271000,12,478000,6,239000
Carmel,SASKATCHEWAN,52.22369,-105.35354,cgn_direct,,,,,,,1,30000,2,55000,1,,2,70000,2,63000,,,1,,2,70000,4,130000,4,130000,4,130000,4,130000,4,128000,5,158000,5,158000,5,155000,4,123000,4,124000,8,248000,4,124000
Carmen,MANITOBA,49.49917,-98.00083,agent_medium,,,,,,,,,,,1,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmichael,SASKATCHEWAN,50.04789,-108.64408,cgn_direct,,,,,2,58000,2,58000,1,,4,118000,4,118000,4,118000,4,118000,5,148000,5,148000,5,148000,5,148000,5,148000,5,145000,5,145000,5,145000,5,143000,5,139000,5,132000,5,132000,10,268000,5,134000
Carnan,MANITOBA,49.49917,-98.00083,agent_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,,
Carnduff,MANITOBA,49.17493,-101.79733,cgn_direct,5,126000,5,126000,4,101000,5,135000,1,,2,50000,2,55000,5,127000,4,102000,5,127000,5,127000,5,127000,5,127000,4,127000,4,121000,4,121000,5,171000,5,181000,5,181000,4,153000,4,138000,8,276000,4,138000
Carnegie,MANITOBA,49.97472,-100.09,cgn_direct,,,2,70000,2,70000,2,70000,2,70000,2,64000,2,64000,2,59000,2,59000,2,59000,2,59000,2,59000,1,,2,59000,2,59000,2,59000,2,59000,2,50000,2,59000,1,,1,31000,2,62000,1,31000
Carolside,ALBERTA,51.22028,-111.62917,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,55000,1,75000,1,75000,2,87000,2,85000,1,34000,1,34000,2,68000,1,34000
Carolside,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,,,,,
Caron,SASKATCHEWAN,50.45884,-105.8712,cgn_direct,4,130000,4,130000,4,130000,4,130000,1,,4,132000,2,75000,4,115300,4,115300,4,115300,4,115300,3,90000,3,90000,3,90000,3,85000,3,90000,3,90000,3,90000,3,95000,3,86300,3,86000,6,172000,3,66000
Carpenter,SASKATCHEWAN,52.58015,-105.91326,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39000,1,38000,1,38000,2,76000,1,38000
Carragana,SASKATCHEWAN,52.58031,-103.11018,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,2,65000,2,65000,4,130000,1,
Carroll,MANITOBA,49.6075,-100.03194,cgn_direct,,,2,67000,2,67000,2,67000,2,67000,2,70000,2,61000,2,75000,2,75000,2,65000,2,65000,2,50000,1,,2,50000,2,50000,2,55000,2,55000,2,80000,2,55000,1,,2,45300,4,90600,2,45300
Carrot River,SASKATCHEWAN,53.2817,-103.58564,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,104000,3,104000,6,208000,1,
Carruthers,SASKATCHEWAN,52.86863,-109.26237,cgn_direct,,,,,,,1,30000,1,30000,1,30000,,,1,30000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,57000,2,57000,4,120000,1,
Carseland,ALBERTA,50.85139,-113.46778,cgn_direct,,,,,,,2,60000,3,90000,3,90000,4,105000,4,165000,4,165000,4,165000,4,165000,4,150000,4,150000,4,150000,4,150000,4,150000,6,220000,6,217000,6,217000,6,198000,6,230000,12,414000,6,183000
Carstairs,ALBERTA,51.56556,-114.09944,cgn_direct,5,185000,4,110000,4,140000,4,150000,4,150000,4,160000,4,150000,4,162000,4,165000,4,125000,4,155000,4,155000,4,155000,5,185000,5,180000,5,180000,7,238000,7,242000,7,269000,7,338000,7,410000,14,756000,7,378000
Cartwright,MANITOBA,49.09556,-99.34,cgn_direct,3,85000,4,72000,3,85000,3,85000,3,85000,3,80000,3,73000,4,78000,3,73000,3,80000,3,80000,3,80000,1,,2,55000,2,55000,3,105000,3,105000,3,85000,3,105000,1,,3,102000,6,204000,3,102000
Carvel,ALBERTA,53.53083,-114.21,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,1,10000,,,2,65000,2,60000,2,60000,2,58000,2,59000,2,59000,4,118000,2,59000
Caryel,ALBERTA,53.53083,-114.21,agent_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Cassils,ALBERTA,50.57694,-112.04611,cgn_direct,,,,,,,,,,,,,,,,,1,35000,1,30000,1,30000,1,30000,1,30000,1,30000,1,35000,1,35000,1,35000,1,35000,,,,,,,,,,
Castor,ALBERTA,52.21917,-111.90361,cgn_direct,1,35000,2,75000,3,100000,3,100000,3,100000,4,130000,4,145000,4,145000,4,145000,4,145000,4,145000,4,145000,4,145000,4,145000,4,145000,5,175000,5,175000,5,185000,5,195000,5,180000,5,170000,10,340000,5,170000
Cater,SASKATCHEWAN,53.36739,-108.04946,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,2,60000,1,30000
Catherwood,SASKATCHEWAN,51.96901,-107.57447,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,2,70000,1,35000
Cathkin,SASKATCHEWAN,52.25499,-108.70186,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,28000,1,30000,1,30000,1,28000,1,28000,1,28000,2,56000,1,28000
Cavalier,SASKATCHEWAN,53.08235,-108.55654,cgn_direct,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,2,60000,2,88000,2,81000,2,82000,2,82000,4,164000,1,
Cavell,SASKATCHEWAN,52.25783,-108.58752,cgn_direct,,,,,,,,,,,,,2,45000,2,45000,2,45000,2,45000,2,45000,2,50000,2,50000,2,50000,3,80000,3,80000,3,84000,3,85000,3,76000,2,55000,2,53000,4,106000,1,
Cavendish,ALBERTA,50.81556,-110.45528,cgn_direct,,,,,,,,,,,,,1,30000,1,30000,1,30000,2,65000,2,65000,1,35000,1,35000,1,35000,1,35000,1,30000,1,30000,1,30000,1,30000,,,,,,,,
Cawood,SASKATCHEWAN,53.35934,-106.60342,agent_high,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caxton,SASKATCHEWAN,49.68336,-103.1505,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,2,60000,1,30000
Caxton Siding,SASKATCHEWAN,49.68336,-103.1505,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32000,1,32000,1,32000,,,,,,,,
Caye,MANITOBA,49.98111,-98.66472,cgn_direct,1,30000,1,30000,1,30000,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayley,ALBERTA,50.44806,-113.84722,cgn_direct,3,90000,3,90000,3,90000,4,125000,4,125000,4,138000,4,145000,4,125000,4,145000,4,145000,4,145000,4,145000,4,145000,4,145000,4,185000,5,217000,5,217000,5,217000,5,252000,5,291000,5,288000,10,512000,5,256000
Cazalet,SASKATCHEWAN,52.03902,-107.7722,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,2,70000,1,35000
Cazalet (formerly Double Crossing),SASKATCHEWAN,52.03902,-107.7722,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,
Cecil,ALBERTA,50.11028,-111.61111,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,2,70000,1,35000
Cedoux,SASKATCHEWAN,49.88251,-103.86043,cgn_direct,,,2,60000,2,60000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,2,60000,2,60000,2,60000,2,60000,3,90000,3,90000,3,90000,3,87000,3,85000,3,85000,6,170000,1,
Ceepec,SASKATCHEWAN,52.38303,-107.13237,agent_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Ceepee,SASKATCHEWAN,52.38303,-107.13237,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,30000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,57000,2,84000,2,84000,4,168000,,
Central Butte,SASKATCHEWAN,50.79759,-106.50652,cgn_direct,,,,,,,4,120000,4,120000,4,120000,4,120000,4,120000,4,120000,4,120000,4,120000,4,120000,5,150000,4,120000,4,120000,4,120000,4,120000,4,120000,4,117000,4,110000,4,109000,8,220000,1,
Cereal,ALBERTA,51.41833,-110.80028,cgn_direct,,,1,30000,2,60000,3,90005,3,95000,4,135000,,,5,265000,5,265000,5,265000,5,235000,5,285000,5,305000,5,305000,1,,4,241000,4,234000,5,284000,4,242000,2,133000,2,138300,4,166000,2,133000
Cessford,ALBERTA,51.00639,-111.55667,cgn_direct,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,2,70000,2,70000,2,65000,1,34000,1,34000,2,68000,1,34000
Ceylon,SASKATCHEWAN,49.45856,-104.60232,cgn_direct,,,1,25000,3,80000,3,80000,3,80000,1,,3,85000,3,85000,3,85000,1,,3,85000,3,85000,3,85000,3,85000,3,85000,4,115000,4,112000,4,115000,4,115000,4,105000,4,105000,8,210000,1,
Chamberlain,SASKATCHEWAN,50.85146,-105.56865,cgn_direct,,,2,60000,2,50000,2,50000,2,50000,1,,3,80000,3,80000,3,80000,1,,3,80000,3,82000,3,82000,3,82000,3,82000,3,82000,3,79000,3,79000,3,79000,3,79000,3,79000,6,158000,1,
Chambers,SASKATCHEWAN,51.86442,-107.12632,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,40000,1,40000,1,35000,1,35000,1,35000,1,30000,1,30000,2,60000,1,30000
Champion,ALBERTA,50.23972,-113.14806,cgn_direct,1,30000,3,120000,1,,5,220000,5,220000,5,190000,5,220000,5,305000,5,305000,5,300000,5,275000,5,275000,5,275000,5,275000,5,280000,6,302000,7,390000,7,413500,7,411000,7,381000,7,417000,14,770000,7,385000
Chancellor,ALBERTA,51.08528,-112.83389,cgn_direct,,,,,,,,,,,,,,,1,30000,3,102000,3,95000,3,95000,3,95000,4,127000,4,127000,4,122000,5,166000,5,166000,5,191000,5,189000,5,176000,5,208000,10,352000,5,176000
Chaplin,SASKATCHEWAN,50.46086,-106.65718,cgn_direct,,,,,3,85000,3,85000,1,,4,120000,2,60000,4,120000,4,120000,4,120000,4,120000,4,120000,4,120000,4,120000,5,150000,5,150000,5,150000,5,150000,5,145000,4,102000,4,80000,8,216000,4,80000
Charboneau,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,34000,1,34000,,,1,34000
Charbonneau,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,68000,,
Charlton,SASKATCHEWAN,52.81297,-106.48831,agent_high,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,2,65000,,,,,,,,
Charmain,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,2,70000,,
Charmian,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,,,,,,,1,35000
Chater,MANITOBA,49.86722,-99.83139,cgn_direct,2,,2,60000,2,60000,1,25000,1,25000,1,20000,1,25000,1,20000,1,20000,1,20000,1,20000,,,,,,,,,,,,,,,,,,,,,,,,
Chauvin,ALBERTA,52.69361,-110.14111,cgn_direct,1,30000,1,30000,2,65000,2,65000,2,65000,2,65000,,,,,3,95000,3,95000,3,95000,3,95000,3,95000,3,95000,1,,4,135000,4,135000,5,160000,4,128000,4,120000,4,153000,8,244000,4,122000
Chauvin,MANITOBA,,,,,,,,,,,,,,,,4,135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheadle,ALBERTA,51.01444,-113.54056,cgn_direct,1,30000,1,30000,1,,2,60000,2,60000,2,60000,,,2,130000,2,130000,2,125000,2,125000,2,125000,,,2,125000,2,125000,2,125000,3,165000,3,167000,3,161000,3,152000,3,185000,6,304000,3,152000
Cheadlo,ALBERTA,51.01444,-113.54056,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,2,125000,,,,,,,,,,,,,,,,,,,,
Cheddle,ALBERTA,51.01444,-113.54056,agent_high,,,,,,,,,,,,,2,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelan,SASKATCHEWAN,52.61007,-103.3984,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,2,65000,2,65000,4,130000,1,
